BaseId,x,z,DistFromCtr,Theta,ChannelStart,Id,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
0,293.1751,59.23135,299.0986,78.57806,1,20,80,299.0066,-7.422168
1,211.4946,211.4946,299.0986,45,22,20,45,299.0985,-2.157919E-05
2,59.23133,293.1751,299.0986,11.42194,43,20,10,299.0066,7.422134
3,-59.23132,293.1751,299.0986,348.5781,169,6,350,299.0065,-7.422136
4,-211.4946,211.4946,299.0986,315,148,6,315,299.0985,-2.157919E-05
5,-293.1751,59.23132,299.0986,281.4219,127,6,280,299.0066,7.4221
6,-293.175,-59.23137,299.0986,258.578,316,13,260,299.0065,-7.422186
7,-211.4946,-211.4947,299.0986,225,337,13,225,299.0986,-6.473756E-05
8,-59.23127,-293.1751,299.0986,191.4219,358,13,190,299.0065,7.422102
9,59.23142,-293.175,299.0986,168.578,232,27,170,299.0065,-7.422258
10,211.4947,-211.4945,299.0986,135,211,27,135,299.0986,-0.0001726335
11,293.1751,-59.23122,299.0986,101.4219,190,27,100,299.0065,7.421964
12,414.4017,59.42411,418.6407,81.83957,484,20,80,418.425,13.43879
13,374.394,187.3209,418.6407,63.4198,463,20,65,418.4815,-11.54465
14,296.0236,296.0237,418.6406,45,442,20,45,418.6406,-6.823938E-05
15,187.3209,374.394,418.6407,26.5802,421,20,25,418.4814,11.54464
16,59.42407,414.4017,418.6407,8.160431,400,20,10,418.4249,-13.43885
17,-59.42415,414.4017,418.6407,351.8396,22,6,350,418.425,13.43875
18,-187.3209,374.394,418.6407,333.4198,43,6,335,418.4814,-11.54465
19,-296.0237,296.0236,418.6406,315,64,6,315,418.6406,-6.823938E-05
20,-374.394,187.3207,418.6406,296.5802,85,6,295,418.4814,11.54446
21,-414.4017,59.4239,418.6407,278.1604,106,6,280,418.4249,-13.43903
22,-414.4016,-59.42427,418.6406,261.8395,295,13,260,418.4248,13.43862
23,-374.394,-187.3211,418.6407,243.4198,274,13,245,418.4815,-11.54484
24,-296.0234,-296.0238,418.6406,225,253,13,225,418.6406,-0.0003244063
25,-187.3206,-374.3942,418.6407,206.5802,232,13,205,418.4814,11.54435
26,-59.42373,-414.4018,418.6407,188.1604,211,13,190,418.4249,-13.43913
27,59.42454,-414.4016,418.6406,171.8395,85,27,170,418.4249,13.43832
28,187.3213,-374.3938,418.6407,153.4197,106,27,155,418.4814,-11.54516
29,296.024,-296.0233,418.6406,134.9999,127,27,135,418.6406,-0.0006042172
30,374.3943,-187.3203,418.6406,116.5801,148,27,115,418.4815,11.54393
31,414.4018,-59.42347,418.6406,98.16034,169,27,100,418.4249,-13.43953
32,534.8831,59.50359,538.1827,83.65216,253,20,85,538.0338,-12.65903
33,508.1484,177.2731,538.1827,70.76813,274,20,70,538.1343,7.214761
34,455.8268,286.1164,538.1827,57.88406,295,20,60,537.8157,-19.87067
35,380.5526,380.5526,538.1827,45,316,20,45,538.1827,0
36,286.1164,455.8268,538.1827,32.11594,337,20,30,537.8158,19.87072
37,177.2732,508.1484,538.1827,19.23187,358,20,20,538.1343,-7.214726
38,59.50359,534.8831,538.1827,6.347839,379,20,5,538.0338,12.659
39,-59.50358,534.8831,538.1827,353.6522,1,6,355,538.0338,-12.65901
40,-177.2731,508.1484,538.1827,340.7681,484,6,340,538.1343,7.214761
41,-286.1164,455.8268,538.1827,327.8841,463,6,330,537.8158,-19.87065
42,-380.5526,380.5526,538.1827,315,442,6,315,538.1827,0
43,-455.8268,286.1164,538.1827,302.116,421,6,300,537.8158,19.87065
44,-508.1484,177.2731,538.1827,289.2319,400,6,290,538.1343,-7.214826
45,-534.8831,59.50357,538.1827,276.3478,379,6,275,538.0337,12.65894
46,-534.8831,-59.50367,538.1827,263.6522,64,13,265,538.0338,-12.65907
47,-508.1484,-177.2732,538.1827,250.7681,85,13,250,538.1343,7.214644
48,-455.8267,-286.1165,538.1827,237.884,106,13,240,537.8157,-19.87078
49,-380.5526,-380.5527,538.1827,225,127,13,225,538.1827,-0.0001100327
50,-286.1163,-455.8268,538.1827,212.1159,148,13,210,537.8157,19.87065
51,-177.273,-508.1485,538.1827,199.2319,169,13,200,538.1343,-7.214822
52,-59.50349,-534.8831,538.1826,186.3478,190,13,185,538.0336,12.65895
53,59.50375,-534.8831,538.1827,173.6522,64,27,175,538.0338,-12.6592
54,177.2733,-508.1484,538.1827,160.7681,43,27,160,538.1343,7.214572
55,286.1165,-455.8267,538.1827,147.884,22,27,150,537.8157,-19.87088
56,380.5528,-380.5525,538.1827,135,1,27,135,538.1827,-0.0003021086
57,455.8269,-286.1162,538.1827,122.1159,484,27,120,537.8158,19.87038
58,508.1486,-177.2729,538.1827,109.2319,463,27,110,538.1344,-7.215097
59,534.8831,-59.5034,538.1827,96.34781,442,27,95,538.0338,12.65868
60,655.0239,59.54385,657.7247,84.80591,232,19,85,657.7209,-2.228184
61,630.4199,187.5436,657.7247,73.4328,211,19,75,657.4787,-17.98852
62,581.0577,308.1781,657.7247,62.05966,190,19,60,657.2998,23.6388
63,508.8761,416.7097,657.7248,50.68655,169,19,50,657.6776,7.881151
64,416.7097,508.8761,657.7247,39.31345,148,19,40,657.6775,-7.881124
65,308.1782,581.0577,657.7247,27.94034,127,19,30,657.2998,-23.63869
66,187.5437,630.4198,657.7247,16.56723,106,19,15,657.4786,17.98859
67,59.54396,655.0239,657.7247,5.194122,85,19,5,657.7209,2.228242
68,-59.54379,655.0239,657.7247,354.8059,211,5,355,657.7209,-2.228096
69,-187.5435,630.4199,657.7247,343.4328,232,5,345,657.4786,-17.98846
70,-308.178,581.0578,657.7248,332.0597,253,5,330,657.2998,23.63894
71,-416.7096,508.8762,657.7247,320.6866,274,5,320,657.6775,7.881253
72,-508.876,416.7098,657.7247,309.3135,295,5,310,657.6776,-7.880956
73,-581.0576,308.1783,657.7247,297.9404,316,5,300,657.2998,-23.63863
74,-630.4198,187.5438,657.7247,286.5673,337,5,285,657.4787,17.9887
75,-655.0239,59.54408,657.7247,275.1941,358,5,275,657.7209,2.228315
76,-655.0239,-59.54358,657.7247,264.8059,43,12,265,657.7208,-2.227854
77,-630.42,-187.5433,657.7247,253.4328,22,12,255,657.4787,-17.98822
78,-581.0579,-308.1778,657.7248,242.0597,1,12,240,657.2998,23.6391
79,-508.8763,-416.7094,657.7247,230.6866,484,12,230,657.6775,7.881386
80,-416.71,-508.8759,657.7248,219.3135,463,12,220,657.6776,-7.880631
81,-308.1784,-581.0576,657.7248,207.9404,442,12,210,657.2998,-23.63842
82,-187.544,-630.4198,657.7248,196.5672,421,12,195,657.4786,17.98899
83,-59.54429,-655.0239,657.7247,185.1942,400,12,185,657.7208,2.228635
84,59.54337,-655.0239,657.7247,174.8059,274,26,175,657.7208,-2.227698
85,187.5431,-630.42,657.7247,163.4328,295,26,165,657.4786,-17.98803
86,308.1776,-581.058,657.7247,152.0597,316,26,150,657.2999,23.63929
87,416.7092,-508.8764,657.7247,140.6866,337,26,140,657.6774,7.881597
88,508.8757,-416.7101,657.7247,129.3135,358,26,130,657.6775,-7.880628
89,581.0574,-308.1786,657.7247,117.9404,379,26,120,657.2998,-23.63833
90,630.4197,-187.5442,657.7247,106.5673,400,26,105,657.4787,17.98901
91,655.0239,-59.5445,657.7247,95.19415,421,26,95,657.7209,2.228632
92,774.9809,59.56702,777.2668,85.60474,379,19,85,777.2235,8.203685
93,756.048,180.3746,777.2668,76.58148,400,19,75,776.9706,21.4512
94,718.4025,296.7177,777.2667,67.55817,421,19,70,776.561,-33.11535
95,662.9763,405.7169,777.2668,58.53491,442,19,60,777.0127,-19.87297
96,591.1408,504.6744,777.2668,49.51163,463,19,50,777.2385,-6.625017
97,504.6744,591.1408,777.2668,40.48837,484,19,40,777.2386,6.624986
98,405.7169,662.9763,777.2668,31.46509,1,19,30,777.0128,19.87303
99,296.7177,718.4025,777.2668,22.44183,22,19,20,776.561,33.11533
100,180.3746,756.048,777.2668,13.41855,43,19,15,776.9707,-21.4512
101,59.56711,774.9809,777.2668,4.395264,64,19,5,777.2235,-8.203647
102,-59.5669,774.9809,777.2668,355.6047,190,5,355,777.2234,8.203827
103,-180.3744,756.0482,777.2668,346.5815,169,5,345,776.9707,21.45138
104,-296.7175,718.4028,777.2669,337.5582,148,5,340,776.561,-33.11506
105,-405.7168,662.9763,777.2667,328.5349,127,5,330,777.0126,-19.87283
106,-504.6743,591.1408,777.2668,319.5117,106,5,320,777.2386,-6.624962
107,-591.1409,504.6743,777.2669,310.4883,85,5,310,777.2387,6.624916
108,-662.9763,405.7168,777.2667,301.4651,64,5,300,777.0126,19.87283
109,-718.4028,296.7175,777.2669,292.4418,43,5,290,776.5612,33.11497
110,-756.0482,180.3743,777.2669,283.4185,22,5,285,776.9708,-21.45154
111,-774.9809,59.56671,777.2667,274.3952,1,5,275,777.2234,-8.204108
112,-774.9809,-59.56739,777.2668,265.6047,190,12,265,777.2235,8.203369
113,-756.048,-180.375,777.2668,256.5814,211,12,255,776.9708,21.45078
114,-718.4025,-296.7181,777.267,247.5582,232,12,250,776.5612,-33.11568
115,-662.976,-405.7174,777.2668,238.5349,253,12,240,777.0128,-19.87363
116,-591.1404,-504.6749,777.2668,229.5116,274,12,230,777.2386,-6.625681
