baseId,angle,radius,x,z
1,133,12'8",-103,112
2,270,12'10",1,-155
3,48,13'1",106,116
4,185,13'3",-159,-15
5,323,13'6",129,-98
6,100,13'8",-29,162
7,238,13'10",-89,-141
8,15,14'1",163,45
9,153,14'3",-153,78
10,290,14'5",60,-163
11,68,14'8",66,163
12,205,14'10",-161,-76
13,343,15'0",173,-53
14,120,15'3",-93,158
15,258,15'5",-39,-181
16,35,15'7",153,109
17,173,15'9",-188,23
18,310,16'0",124,-146
19,88,16'2",7,194
20,225,16'4",-138,-140
21,3,16'6",198,10
22,140,16'8",-155,128
23,278,16'11",28,-201
24,55,17'1",116,169
25,193,17'3",-202,-47
26,330,17'5",182,-103
27,108,17'7",-65,201
28,245,17'9",-89,-195
29,23,18'0",199,84
30,160,18'2",-206,73
31,298,18'4",103,-195
32,76,18'6",56,215
33,213,18'8",-188,-122
34,351,18'10",224,-37
35,128,19'0",-141,180
36,266,19'2",-18,-230
37,43,19'5",170,159
38,181,19'7",-235,-2
39,318,19'9",177,-159
40,96,19'11",-23,238
41,233,20'1",-145,-193
42,11,20'3",239,45
43,148,20'5",-209,130
44,286,20'7",67,-239
45,63,20'9",113,223
46,201,20'11",-236,-89
47,338,21'1",236,-95
48,116,21'4",-111,231
49,253,21'6",-75,-247
50,31,21'8",224,133
51,168,21'10",-257,54
52,306,22'0",154,-215
53,83,22'2",32,264
54,221,22'4",-204,-175
55,358,22'6",270,-9
56,136,22'8",-195,190
57,273,22'10",15,-274
58,51,23'0",175,214
59,188,23'2",-276,-40
60,326,23'4",232,-158
61,103,23'6",-65,275
62,241,23'8",-139,-249
63,18,23'10",272,90
64,156,24'0",-263,119
65,293,24'3",115,-267
66,71,24'5",96,277
67,208,24'7",-260,-140
68,346,24'9",288,-73
69,123,24'11",-164,250
70,261,25'1",-48,-297
71,38,25'3",238,188
72,176,25'5",-305,22
73,313,25'7",211,-224
74,91,25'9",-5,309
75,228,25'11",-207,-233
76,6,26'1",312,32
77,143,26'3",-253,188
78,281,26'5",60,-312
79,58,26'7",168,272
80,196,26'9",-310,-88
81,333,26'11",290,-145
82,111,27'1",-116,304
83,248,27'3",-121,-305
84,26,27'6",297,144
85,163,27'8",-318,95
86,301,27'10",172,-287
87,78,28'0",67,329
88,216,28'2",-274,-199
89,353,28'4",338,-39
90,131,28'6",-224,259
91,268,28'8",-9,-344
92,46,28'10",241,249
93,183,29'0",-348,-21
94,321,29'2",272,-221
95,99,29'4",-52,349
96,236,29'6",-198,-294
97,14,29'8",347,83
98,151,29'10",-314,174
99,289,30'1",115,-342
100,66,30'3",147,332
101,204,30'5",-335,-146
102,341,30'7",347,-119
103,119,30'9",-177,324
104,256,30'11",-89,-361
105,34,31'1",311,207
106,171,31'3",-371,58
107,309,31'5",236,-295
108,86,31'7",26,379
109,224,31'9",-277,-263
110,1,32'0",384,7
111,139,32'2",-290,255
112,276,32'4",41,-386
113,54,32'6",231,314
114,191,32'8",-385,-76
115,329,32'10",337,-205
116,106,33'0",-110,381
117,244,33'2",-177,-357
118,21,33'4",374,145
119,159,33'7",-375,146
120,296,33'9",179,-364
121,74,33'11",114,391
122,211,34'1",-350,-212
123,349,34'3",404,-81
124,126,34'5",-244,334
125,264,34'7",-45,-413
126,41,34'9",314,276
127,179,35'0",-420,9
128,316,35'2",305,-292
129,94,35'4",-28,423
130,231,35'6",-267,-333
131,9,35'8",424,65
132,146,35'10",-358,239
133,284,36'0",103,-420
134,61,36'3",209,382
135,199,36'5",-414,-141
136,336,36'7",402,-177
137,114,36'9",-178,404
138,251,36'11",-142,-420
139,29,37'2",391,215
140,166,37'4",-436,106
141,304,37'6",251,-374
142,81,37'8",68,447
143,219,37'10",-354,-285
144,356,38'0",456,-29
145,134,38'3",-318,331
146,271,38'5",11,-461
147,49,38'7",305,349
148,186,38'9",-463,-52
149,324,38'11",378,-276
150,101,39'2",-93,461
151,239,39'4",-244,-405
152,16,39'6",455,134
153,154,39'8",-428,209
154,291,39'11",175,-446
155,69,40'1",173,449
156,206,40'3",-433,-216
157,344,40'5",467,-134
158,121,40'8",-255,416
159,259,40'10",-94,-481
160,37,41'0",396,293
161,174,41'2",-492,52
162,312,41'5",330,-372
163,89,41'7",8,499
164,227,41'9",-345,-364
165,4,41'11",503,36
166,142,42'2",-396,315
167,279,42'4",80,-502
168,57,42'6",281,426
169,194,42'8",-498,-125
170,332,42'11",453,-245
171,109,43'1",-169,489
172,247,43'3",-206,-477
173,24,43'6",477,213
174,162,43'8",-498,165
175,299,43'10",256,-460
176,77,44'1",122,515
177,214,44'3",-440,-298
178,352,44'5",528,-78
179,129,44'8",-338,416
180,267,44'10",-31,-537
181,44,45'0",388,377
182,182,45'3",-543,-16
183,319,45'5",413,-357
184,97,45'7",-64,544
185,234,45'10",-322,-446
186,12,46'0",541,112
187,149,46'2",-477,284
188,287,46'5",160,-534
189,64,46'7",243,504
190,202,46'9",-522,-208
191,339,47'0",528,-200
192,117,47'2",-255,506
193,254,47'5",-154,-548
194,32,47'7",486,301
195,169,47'9",-564,107
196,307,48'0",345,-462
197,84,48'2",58,576
198,222,48'5",-433,-387
199,359,48'7",583,-7
200,137,48'9",-427,401
201,274,49'0",44,-587
202,52,49'2",365,464
203,189,49'5",-585,-96
204,327,49'7",499,-326
205,104,49'10",-148,579
206,242,50'0",-283,-530
207,19,50'3",569,200
208,157,50'5",-557,238
209,294,50'7",251,-554
210,72,50'10",190,580
211,209,51'0",-534,-301
212,347,51'3",599,-139
213,124,51'5",-349,510
214,262,51'8",-87,-614
215,39,51'10",481,396
216,177,52'1",-624,33
217,314,52'3",440,-448
218,92,52'6",-22,630
219,229,52'8",-411,-481
220,7,52'11",631,77
221,144,53'1",-519,371
222,282,53'4",133,-626
223,59,53'6",326,554
224,197,53'9",-617,-189
225,335,54'0",585,-279
226,112,54'2",-244,603
227,250,54'5",-228,-612
228,27,54'7",584,298
229,165,54'10",-634,175
230,302,55'0",351,-560
231,80,55'3",120,652
232,217,55'5",-531,-401
233,355,55'8",666,-63
234,132,55'11",-450,498
235,270,56'1",-5,-674
236,47,56'4",460,495
237,185,56'6",-677,-55
238,322,56'9",538,-419
239,100,57'0",-114,675
240,237,57'2",-373,-577
241,15,57'5",667,174
242,152,57'8",-612,323
243,290,57'10",234,-654
244,67,58'1",271,643
245,205,58'4",-636,-292
246,342,58'6",669,-215
247,120,58'9",-349,613
248,257,59'0",-157,-690
249,35,59'2",584,405
250,172,59'5",-707,97
251,310,59'8",458,-551
252,87,59'10",35,718
253,225,60'1",-513,-508
254,2,60'4",724,28
255,140,60'6",-555,470
256,277,60'9",92,-724
257,55,61'0",423,598
258,192,61'2",-718,-156
259,330,61'5",637,-371
260,107,61'8",-220,707
261,245,61'11",-317,-672
262,22,62'1",690,283
263,160,62'4",-703,258
264,297,62'7",345,-668
265,75,62'10",197,728
266,212,63'0",-640,-405
267,350,63'3",748,-134
268,127,63'6",-463,606
269,265,63'9",-69,-762
270,42,64'0",568,518
271,180,64'2",-771,2
272,317,64'5",569,-524
273,95,64'8",-66,774
274,232,64'11",-476,-617
275,10,65'2",771,134
276,147,65'5",-661,423
277,285,65'7",203,-761
278,62,65'10",366,701
279,200,66'1",-746,-271
280,337,66'4",735,-306
281,115,66'7",-337,725
282,252,66'10",-242,-765
283,30,67'1",697,402
284,167,67'3",-789,175
285,305,67'6",465,-664
286,82,67'9",106,807
287,220,68'0",-626,-525
288,358,68'3",819,-36
289,135,68'6",-582,581
290,273,68'9",36,-825
291,50,69'0",532,635
292,188,69'3",-824,-109
293,325,69'6",684,-478
294,103,69'9",-182,817
295,240,70'0",-419,-728
296,18,70'2",804,254
297,155,70'5",-767,357
298,293,70'8",326,-784
299,70,70'11",290,801
300,208,71'2",-758,-396
301,345,71'5",829,-221
302,123,71'8",-464,725
303,260,71'11",-148,-851
304,38,72'2",687,529
305,175,72'5",-867,74
306,313,72'8",591,-642
307,90,72'11",-2,876
308,228,73'2",-592,-650
309,5,73'6",878,79
310,143,73'9",-704,537
311,280,74'0",157,-874
312,58,74'3",476,753
313,195,74'6",-863,-234
314,333,74'9",797,-412
315,110,75'0",-311,845
316,248,75'3",-343,-836
317,25,75'6",820,386
318,163,75'9",-869,270
319,300,76'0",460,-789
320,78,76'3",194,895
321,215,76'7",-751,-531
322,353,76'10",915,-116
323,130,77'1",-598,706
324,268,77'4",-36,-928
325,45,77'7",655,662
326,183,77'10",-934,-46
327,320,78'2",722,-599
328,98,78'5",-128,932
329,235,78'8",-537,-777
330,13,78'11",924,210
331,150,79'2",-826,471
332,288,79'5",292,-908
333,65,79'9",399,870
334,203,80'0",-885,-373
335,340,80'3",908,-324
336,118,80'6",-452,855
337,255,80'10",-245,-939
338,33,81'1",817,529
339,170,81'4",-963,163
