PathId,Host,Universe,ChannelStart,Fixture0,Fixture1,DistanceFt
0,192.168.0.220,1,1,0,24,8.293639
0,192.168.0.220,1,1,24,37,10.16438
0,192.168.0.220,1,1,37,71,15.2425
0,192.168.0.220,1,1,71,105,12.42615
0,192.168.0.220,1,1,105,139,11.29084
0,192.168.0.220,1,1,139,173,10.8107
0,192.168.0.220,1,1,173,207,10.66186
0,192.168.0.220,1,1,207,241,10.70332
0,192.168.0.220,1,1,241,275,10.85561
0,192.168.0.220,1,1,275,309,11.08317
0,192.168.0.220,1,1,309,343,11.35884
0,192.168.0.220,1,1,343,377,11.66686
0,192.168.0.220,1,1,377,411,11.99686
1,192.168.0.220,2,295,19,29,11.20771
1,192.168.0.220,2,295,29,50,11.75033
1,192.168.0.220,2,295,50,84,13.82083
1,192.168.0.220,2,295,84,118,11.87728
1,192.168.0.220,2,295,118,152,11.05475
1,192.168.0.220,2,295,152,186,10.72471
1,192.168.0.220,2,295,186,220,10.65789
1,192.168.0.220,2,295,220,254,10.75373
1,192.168.0.220,2,295,254,288,10.93561
1,192.168.0.220,2,295,288,322,11.18391
1,192.168.0.220,2,295,322,356,11.47344
1,192.168.0.220,2,295,356,390,11.79086
2,192.168.0.220,3,64,18,21,6.611465
2,192.168.0.220,3,64,21,42,12.88416
2,192.168.0.220,3,64,42,63,10.80534
2,192.168.0.220,3,64,63,97,12.86592
2,192.168.0.220,3,64,97,131,11.47985
2,192.168.0.220,3,64,131,165,10.88614
2,192.168.0.220,3,64,165,199,10.67621
2,192.168.0.220,3,64,199,233,10.67775
2,192.168.0.220,3,64,233,267,10.81599
2,192.168.0.220,3,64,267,301,11.02454
2,192.168.0.220,3,64,301,335,11.2906
2,192.168.0.220,3,64,335,369,11.59209
2,192.168.0.220,3,64,369,403,11.91764
3,192.168.0.220,4,358,17,34,13.74908
3,192.168.0.220,4,358,34,55,11.29311
3,192.168.0.220,4,358,55,76,10.40788
3,192.168.0.220,4,358,76,110,12.19356
3,192.168.0.220,4,358,110,144,11.19095
3,192.168.0.220,4,358,144,178,10.77266
3,192.168.0.220,4,358,178,212,10.65811
3,192.168.0.220,4,358,212,246,10.72011
3,192.168.0.220,4,358,246,280,10.88523
3,192.168.0.220,4,358,280,314,11.12114
3,192.168.0.220,4,358,314,348,11.40242
3,192.168.0.220,4,358,348,382,11.7142
3,192.168.0.220,4,358,382,416,12.0468
4,192.168.0.220,5,148,16,26,9.244439
4,192.168.0.220,5,148,26,47,12.10481
4,192.168.0.220,5,148,47,68,10.60712
4,192.168.0.220,5,148,68,89,10.29393
4,192.168.0.220,5,148,89,123,11.7098
4,192.168.0.220,5,148,123,157,10.98196
4,192.168.0.220,5,148,157,191,10.70206
4,192.168.0.220,5,148,191,225,10.66312
4,192.168.0.220,5,148,225,259,10.77616
4,192.168.0.220,5,148,259,293,10.96883
4,192.168.0.220,5,148,293,327,11.22429
4,192.168.0.220,5,148,327,361,11.51863
4,192.168.0.220,5,148,361,395,11.83932
5,192.168.0.221,1,442,15,39,16.30849
