BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
0,257.2385,59.36797,264.0004,77.00427,169,23,75,263.8389,9.233173
1,230.9047,127.9813,264.0004,61.00214,148,23,60,263.96,4.617286
2,186.6765,186.6765,264.0004,45,127,23,45,264.0004,0
3,127.9813,230.9047,264.0004,28.99786,106,23,30,263.96,-4.617291
4,59.36797,257.2385,264.0004,12.99573,85,23,15,263.8389,-9.233181
5,-59.36799,257.2385,264.0004,347.0043,127,7,345,263.8389,9.233148
6,-127.9813,230.9047,264.0004,331.0021,148,7,330,263.96,4.617299
7,-186.6765,186.6765,264.0004,315,169,7,315,264.0004,0
8,-230.9047,127.9813,264.0004,298.9979,190,7,300,263.96,-4.617299
9,-257.2385,59.36798,264.0004,282.9957,211,7,285,263.8389,-9.233177
10,-257.2385,-59.36797,264.0004,257.0043,442,15,255,263.8389,9.233181
11,-230.9047,-127.9813,264.0004,241.0021,421,15,240,263.96,4.617299
12,-186.6765,-186.6765,264.0004,225,400,15,225,264.0004,0
13,-127.9813,-230.9047,264.0004,208.9979,379,15,210,263.96,-4.617238
14,-59.36795,-257.2385,264.0004,192.9957,358,15,195,263.8389,-9.233177
15,59.36795,-257.2385,264.0004,167.0043,316,31,165,263.8389,9.233185
16,127.9813,-230.9047,264.0004,151.0021,337,31,150,263.96,4.617218
17,186.6765,-186.6764,264.0004,135,358,31,135,264.0004,-0.0001406791
18,230.9048,-127.9812,264.0004,118.9978,379,31,120,263.9601,-4.617496
19,257.2386,-59.36777,264.0004,102.9957,400,31,105,263.8389,-9.233433
20,361.5859,59.61399,366.4672,80.63797,484,23,80,366.4445,4.080429
21,325.9974,167.4034,366.4672,62.819,1,23,65,366.2017,-13.94651
22,259.1315,259.1315,366.4673,45,22,23,45,366.4673,-4.315837E-05
23,167.4034,325.9974,366.4672,27.18103,43,23,25,366.2018,13.94655
24,59.61399,361.5859,366.4672,9.36203,64,23,10,366.4445,-4.08044
25,-59.61402,361.5859,366.4672,350.638,106,7,350,366.4445,4.080402
26,-167.4034,325.9974,366.4672,332.819,85,7,335,366.2018,-13.94652
27,-259.1315,259.1315,366.4673,315,64,7,315,366.4673,-4.315837E-05
28,-325.9974,167.4034,366.4672,297.181,43,7,295,366.2018,13.94652
29,-361.5859,59.61407,366.4672,279.3621,22,7,280,366.4445,-4.080389
30,-361.5859,-59.61396,366.4672,260.638,253,15,260,366.4445,4.080473
31,-325.9975,-167.4033,366.4672,242.819,274,15,245,366.2018,-13.94644
32,-259.1315,-259.1314,366.4672,225,295,15,225,366.4672,8.631674E-05
33,-167.4035,-325.9973,366.4672,207.181,316,15,205,366.2017,13.94671
34,-59.61417,-361.5859,366.4673,189.3621,337,15,190,366.4445,-4.08022
35,59.61385,-361.5859,366.4672,170.638,295,31,170,366.4445,4.080555
36,167.4032,-325.9976,366.4673,152.819,274,31,155,366.2018,-13.94636
37,259.1313,-259.1316,366.4673,135,253,31,135,366.4672,0.0001525879
38,325.9973,-167.4036,366.4672,117.1811,232,31,115,366.2017,13.94673
39,361.5859,-59.61429,366.4673,99.36206,211,31,100,366.4445,-4.080223
40,465.1161,59.71749,468.9341,82.68365,463,22,85,468.5509,-18.95271
41,440.9956,159.4428,468.934,70.12244,442,22,70,468.933,1.00213
42,395.7639,251.5354,468.9341,57.56122,421,22,60,468.5093,-19.95404
43,331.5865,331.5865,468.9341,45,400,22,45,468.9341,-4.315837E-05
44,251.5353,395.764,468.9341,32.43878,379,22,30,468.5094,19.954
45,159.4428,440.9956,468.934,19.87756,358,22,20,468.933,-1.002198
46,59.71745,465.1161,468.9341,7.316345,337,22,5,468.5509,18.95265
47,-59.71749,465.1161,468.9341,352.6837,379,6,355,468.5509,-18.9527
48,-159.4428,440.9956,468.934,340.1224,400,6,340,468.933,1.00214
49,-251.5354,395.764,468.9341,327.5612,421,6,330,468.5094,-19.95397
50,-331.5865,331.5865,468.9341,315,442,6,315,468.9341,-4.315837E-05
51,-395.764,251.5354,468.9341,302.4388,463,6,300,468.5094,19.95397
52,-440.9956,159.4428,468.934,289.8776,484,6,290,468.933,-1.002173
53,-465.1161,59.71749,468.9341,277.3163,1,6,275,468.551,18.95264
54,-465.1161,-59.71745,468.9341,262.6837,232,14,265,468.5509,-18.95264
55,-440.9956,-159.4428,468.934,250.1224,211,14,250,468.933,1.002183
56,-395.764,-251.5353,468.9341,237.5612,190,14,240,468.5094,-19.95398
57,-331.5865,-331.5864,468.934,225,169,14,225,468.934,-3.051758E-05
58,-251.5354,-395.7639,468.9341,212.4388,148,14,210,468.5093,19.9541
59,-159.4427,-440.9956,468.934,199.8775,127,14,200,468.933,-1.002159
60,-59.7173,-465.1161,468.9341,187.3163,106,14,185,468.551,18.95254
61,59.71775,-465.1161,468.9341,172.6837,64,30,175,468.551,-18.95298
62,159.4432,-440.9955,468.934,160.1224,85,30,160,468.933,1.00173
63,251.5358,-395.7637,468.9341,147.5612,106,30,150,468.5093,-19.95454
64,331.5869,-331.5861,468.9341,134.9999,127,30,135,468.9341,-0.000629136
65,395.7644,-251.5347,468.9341,122.4387,148,30,120,468.5094,19.95317
66,440.9959,-159.442,468.9341,109.8774,169,30,110,468.933,-1.003105
67,465.1162,-59.71656,468.9341,97.31622,190,30,95,468.551,18.95164
68,568.2662,59.77055,571.4009,83.99567,169,22,85,571.313,-10.01545
69,546.0061,168.4528,571.4009,72.85406,190,22,75,571.0002,-21.39615
70,503.1643,270.7853,571.4009,61.71243,211,22,60,571.1457,17.07522
