StalkId,PlantId,x,z,ChannelStart,Universe,IPAddress,StemIndex
2737,391,-1185.259,59.92862,1,1,192.168.0.220,0
2738,391,-1183.554,59.84247,4,1,192.168.0.220,1
2739,391,-1188.813,60.77725,7,1,192.168.0.220,2
2740,391,-1187.78,64.27553,10,1,192.168.0.220,3
2741,391,-1180.029,63.20663,13,1,192.168.0.220,4
2742,391,-1181.215,56.22699,16,1,192.168.0.220,5
2743,391,-1186.079,53.92939,19,1,192.168.0.220,6
2730,390,-1175.657,162.0556,22,1,192.168.0.220,0
2731,390,-1173.965,161.8226,25,1,192.168.0.220,1
2732,390,-1179.124,163.2079,28,1,192.168.0.220,2
2733,390,-1177.792,166.604,31,1,192.168.0.220,3
2734,390,-1170.162,164.8697,34,1,192.168.0.220,4
2735,390,-1171.947,158.0186,37,1,192.168.0.220,5
2736,390,-1176.991,156.1496,40,1,192.168.0.220,6
2723,389,-1157.271,262.9719,43,1,192.168.0.220,0
2724,389,-1155.606,262.5937,46,1,192.168.0.220,1
2725,389,-1160.626,264.4193,49,1,192.168.0.220,2
2726,389,-1159.006,267.6877,52,1,192.168.0.220,3
2727,389,-1151.554,265.3011,55,1,192.168.0.220,4
2728,389,-1153.924,258.6297,58,1,192.168.0.220,5
2729,389,-1159.111,257.2032,61,1,192.168.0.220,6
2716,388,-1130.24,361.9236,64,1,192.168.0.220,0
2717,388,-1128.614,361.403,67,1,192.168.0.220,1
2718,388,-1133.457,363.6552,70,1,192.168.0.220,2
2719,388,-1131.561,366.7716,73,1,192.168.0.220,3
2720,388,-1124.344,363.7504,76,1,192.168.0.220,4
2721,388,-1127.281,357.3085,79,1,192.168.0.220,5
2722,388,-1132.571,356.3352,82,1,192.168.0.220,6
2709,387,-1094.765,458.1715,85,1,192.168.0.220,0
2710,387,-1093.19,457.5124,88,1,192.168.0.220,1
2711,387,-1097.82,460.1744,91,1,192.168.0.220,2
2712,387,-1095.663,463.1154,94,1,192.168.0.220,3
2713,387,-1088.733,459.4822,97,1,192.168.0.220,4
2714,387,-1092.215,453.3181,100,1,192.168.0.220,5
2715,387,-1097.569,452.8052,103,1,192.168.0.220,6
2702,386,-1051.111,550.9964,106,1,192.168.0.220,0
2703,386,-1049.599,550.2037,109,1,192.168.0.220,1
2704,386,-1053.982,553.2556,112,1,192.168.0.220,2
2705,386,-1051.578,555.9993,115,1,192.168.0.220,3
2706,386,-1044.988,551.7813,118,1,192.168.0.220,4
2707,386,-1048.99,545.9409,121,1,192.168.0.220,5
2708,386,-1054.368,545.8923,124,1,192.168.0.220,6
2695,385,-999.6042,639.7049,127,1,192.168.0.220,0
2696,385,-998.166,638.7846,130,1,192.168.0.220,1
2697,385,-1002.269,642.2036,133,1,192.168.0.220,2
2698,385,-999.6379,644.7296,136,1,192.168.0.220,3
2699,385,-993.4364,639.9581,139,1,192.168.0.220,4
2700,385,-997.9275,634.4852,142,1,192.168.0.220,5
2701,385,-1003.29,634.9012,145,1,192.168.0.220,6
2688,384,-940.6297,723.6342,148,1,192.168.0.220,0
2689,384,-939.2764,722.5931,151,1,192.168.0.220,1
2690,384,-943.069,726.3537,154,1,192.168.0.220,2
2691,384,-940.2293,728.643,157,1,192.168.0.220,3
2692,384,-934.4631,723.3539,160,1,192.168.0.220,4
2693,384,-939.41,718.2891,163,1,192.168.0.220,5
2694,384,-944.7168,719.1667,166,1,192.168.0.220,6
2681,383,-874.628,802.1577,169,1,192.168.0.220,0
2682,383,-873.3697,801.0036,172,1,192.168.0.220,1
2683,383,-876.8233,805.0776,175,1,192.168.0.220,2
2684,383,-873.7966,807.1132,178,1,192.168.0.220,3
2685,383,-868.5085,801.3459,181,1,192.168.0.220,4
2686,383,-873.8743,796.7272,184,1,192.168.0.220,5
2687,383,-879.0856,798.0598,187,1,192.168.0.220,6
2674,382,-802.092,874.688,190,1,192.168.0.220,0
2675,382,-800.938,873.4297,193,1,192.168.0.220,1
2676,382,-804.027,877.7867,196,1,192.168.0.220,2
2677,382,-800.8358,879.5532,199,1,192.168.0.220,3
2678,382,-796.0656,873.3509,202,1,192.168.0.220,4
2679,382,-801.8101,869.2128,205,1,192.168.0.220,5
2680,382,-806.8868,870.9904,208,1,192.168.0.220,6
2667,381,-723.5637,940.6841,211,1,192.168.0.220,0
2668,381,-722.5226,939.3307,214,1,192.168.0.220,1
2669,381,-725.2239,943.9382,217,1,192.168.0.220,2
2670,381,-721.892,945.4225,220,1,192.168.0.220,3
2671,381,-717.6752,938.8315,223,1,192.168.0.220,4
2672,381,-723.7556,935.205,226,1,192.168.0.220,5
2673,381,-728.6599,937.4143,229,1,192.168.0.220,6
2660,380,-639.63,999.6523,232,1,192.168.0.220,0
2661,380,-638.7097,998.2141,235,1,192.168.0.220,1
2662,380,-641.003,1003.038,238,1,192.168.0.220,2
2663,380,-637.5554,1004.229,241,1,192.168.0.220,3
2664,380,-633.9235,997.2981,244,1,192.168.0.220,4
2665,380,-640.2944,994.2101,247,1,192.168.0.220,5
2666,380,-644.9895,996.8348,250,1,192.168.0.220,6
2653,379,-550.9175,1051.152,253,1,192.168.0.220,0
2654,379,-550.1249,1049.64,256,1,192.168.0.220,1
2655,379,-551.993,1054.643,259,1,192.168.0.220,2
2656,379,-548.4554,1055.532,262,1,192.168.0.220,3
2657,379,-545.4356,1048.314,265,1,192.168.0.220,4
2658,379,-552.0494,1045.788,268,1,192.168.0.220,5
2659,379,-556.5003,1048.808,271,1,192.168.0.220,6
2646,378,-458.0893,1094.799,274,1,192.168.0.220,0
2647,378,-457.4302,1093.224,277,1,192.168.0.220,1
2648,378,-458.8593,1098.37,280,1,192.168.0.220,2
2649,378,-455.2582,1098.95,283,1,192.168.0.220,3
2650,378,-452.873,1091.498,286,1,192.168.0.220,4
2651,378,-459.6801,1089.553,289,1,192.168.0.220,5
2652,378,-463.8536,1092.946,292,1,192.168.0.220,6
2639,377,-361.8387,1130.267,295,1,192.168.0.220,0
2640,377,-361.3181,1128.641,298,1,192.168.0.220,1
2641,377,-362.2975,1133.891,301,1,192.168.0.220,2
2642,377,-358.6597,1134.158,304,1,192.168.0.220,3
2643,377,-356.9269,1126.528,307,1,192.168.0.220,4
2644,377,-363.8767,1125.177,310,1,192.168.0.220,5
2645,377,-367.7416,1128.918,313,1,192.168.0.220,6
2632,376,-262.8848,1157.291,316,1,192.168.0.220,0
2633,376,-262.5065,1155.626,319,1,192.168.0.220,1
2634,376,-263.0289,1160.942,322,1,192.168.0.220,2
2635,376,-259.3816,1160.893,325,1,192.168.0.220,3
2636,376,-258.3142,1153.142,328,1,192.168.0.220,4
2637,376,-265.3546,1152.397,331,1,192.168.0.220,5
2638,376,-268.882,1156.457,334,1,192.168.0.220,6
2625,375,-161.9669,1175.669,337,1,192.168.0.220,0
2626,375,-161.7339,1173.978,340,1,192.168.0.220,1
2627,375,-161.7952,1179.318,343,1,192.168.0.220,2
2628,375,-158.1658,1178.955,346,1,192.168.0.220,3
2629,375,-157.7717,1171.141,349,1,192.168.0.220,4
