BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
0,257.2389,59.36805,264.0008,77.00427,169,Path13,75,263.8393,9.233192
1,230.9051,127.9815,264.0008,61.00214,148,Path13,60,263.9604,4.617306
2,186.6767,186.6767,264.0008,45,127,Path13,45,264.0008,0
3,127.9815,230.9051,264.0008,28.99786,106,Path13,30,263.9604,-4.617299
4,59.36805,257.2389,264.0008,12.99573,85,Path13,15,263.8393,-9.2332
5,-59.36807,257.2389,264.0008,347.0043,127,Path4,345,263.8393,9.233166
6,-127.9815,230.9051,264.0008,331.0021,148,Path4,330,263.9604,4.617319
7,-186.6767,186.6767,264.0008,315,169,Path4,315,264.0008,0
8,-230.9051,127.9815,264.0008,298.9979,190,Path4,300,263.9604,-4.617319
9,-257.2389,59.36807,264.0008,282.9957,211,Path4,285,263.8393,-9.233191
10,-257.2389,-59.36805,264.0008,257.0043,442,Path8,255,263.8393,9.2332
11,-230.9051,-127.9815,264.0008,241.0021,421,Path8,240,263.9604,4.617307
12,-186.6767,-186.6767,264.0008,225,400,Path8,225,264.0008,-4.825253E-05
13,-127.9815,-230.905,264.0008,208.9979,379,Path8,210,263.9604,-4.617243
14,-59.36803,-257.2389,264.0008,192.9957,358,Path8,195,263.8393,-9.233196
15,59.36803,-257.2389,264.0008,167.0043,316,Path17,165,263.8393,9.233203
16,127.9815,-230.905,264.0008,151.0021,337,Path17,150,263.9604,4.617223
17,186.6768,-186.6767,264.0008,135,358,Path17,135,264.0008,-0.0001510543
18,230.9052,-127.9814,264.0008,118.9978,379,Path17,120,263.9604,-4.61751
19,257.2389,-59.36786,264.0008,102.9957,400,Path17,105,263.8392,-9.233452
20,361.5864,59.61407,366.4677,80.63797,484,Path12,80,366.4449,4.080429
21,325.9979,167.4036,366.4677,62.81897,1,Path13,65,366.2023,-13.94655
22,259.1318,259.1318,366.4677,45,22,Path13,45,366.4678,-4.315837E-05
23,167.4036,325.9979,366.4677,27.18103,43,Path13,25,366.2023,13.94656
24,59.61407,361.5864,366.4677,9.36203,64,Path13,10,366.4449,-4.08044
25,-59.6141,361.5864,366.4677,350.638,106,Path4,350,366.4449,4.080402
