StalkId,PlantId,x,z,ChannelStart,Universe,IPAddress,StemIndex
2737,391,-1185.26,59.92865,1,1,192.168.1.229,0
2738,391,-1183.555,59.84249,4,1,192.168.1.229,1
2739,391,-1188.813,60.77728,7,1,192.168.1.229,2
2740,391,-1187.78,64.27556,10,1,192.168.1.229,3
2741,391,-1180.029,63.20666,13,1,192.168.1.229,4
2742,391,-1181.216,56.22702,16,1,192.168.1.229,5
2743,391,-1186.079,53.92942,19,1,192.168.1.229,6
2730,390,-1175.657,162.0557,22,1,192.168.1.229,0
2731,390,-1173.966,161.8226,25,1,192.168.1.229,1
2732,390,-1179.124,163.208,28,1,192.168.1.229,2
2733,390,-1177.793,166.604,31,1,192.168.1.229,3
2734,390,-1170.163,164.8698,34,1,192.168.1.229,4
2735,390,-1171.948,158.0187,37,1,192.168.1.229,5
2736,390,-1176.992,156.1497,40,1,192.168.1.229,6
2723,389,-1157.272,262.9721,43,1,192.168.1.229,0
2724,389,-1155.607,262.5938,46,1,192.168.1.229,1
2725,389,-1160.626,264.4194,49,1,192.168.1.229,2
2726,389,-1159.007,267.6878,52,1,192.168.1.229,3
2727,389,-1151.555,265.3012,55,1,192.168.1.229,4
2728,389,-1153.925,258.6298,58,1,192.168.1.229,5
2729,389,-1159.111,257.2033,61,1,192.168.1.229,6
2716,388,-1130.24,361.9238,64,1,192.168.1.229,0
2717,388,-1128.614,361.4032,67,1,192.168.1.229,1
2718,388,-1133.457,363.6554,70,1,192.168.1.229,2
2719,388,-1131.562,366.7718,73,1,192.168.1.229,3
2720,388,-1124.344,363.7505,76,1,192.168.1.229,4
2721,388,-1127.281,357.3087,79,1,192.168.1.229,5
2722,388,-1132.571,356.3354,82,1,192.168.1.229,6
2709,387,-1094.765,458.1717,85,1,192.168.1.229,0
2710,387,-1093.19,457.5126,88,1,192.168.1.229,1
2711,387,-1097.821,460.1746,91,1,192.168.1.229,2
2712,387,-1095.663,463.1157,94,1,192.168.1.229,3
2713,387,-1088.733,459.4825,97,1,192.168.1.229,4
2714,387,-1092.215,453.3184,100,1,192.168.1.229,5
2715,387,-1097.57,452.8055,103,1,192.168.1.229,6
2702,386,-1051.111,550.9966,106,1,192.168.1.229,0
2703,386,-1049.599,550.2039,109,1,192.168.1.229,1
2704,386,-1053.982,553.2559,112,1,192.168.1.229,2
2705,386,-1051.579,555.9996,115,1,192.168.1.229,3
2706,386,-1044.988,551.7815,118,1,192.168.1.229,4
2707,386,-1048.99,545.9412,121,1,192.168.1.229,5
2708,386,-1054.369,545.8925,124,1,192.168.1.229,6
2695,385,-999.6047,639.7052,127,1,192.168.1.229,0
2696,385,-998.1666,638.7849,130,1,192.168.1.229,1
2697,385,-1002.27,642.2039,133,1,192.168.1.229,2
2698,385,-999.6384,644.7299,136,1,192.168.1.229,3
2699,385,-993.437,639.9584,139,1,192.168.1.229,4
2700,385,-997.928,634.4855,142,1,192.168.1.229,5
2701,385,-1003.291,634.9015,145,1,192.168.1.229,6
2688,384,-940.6302,723.6345,148,1,192.168.1.229,0
2689,384,-939.2769,722.5935,151,1,192.168.1.229,1
2690,384,-943.0695,726.3541,154,1,192.168.1.229,2
2691,384,-940.2298,728.6434,157,1,192.168.1.229,3
2692,384,-934.4635,723.3543,160,1,192.168.1.229,4
2693,384,-939.4105,718.2896,163,1,192.168.1.229,5
2694,384,-944.7172,719.1671,166,1,192.168.1.229,6
2681,383,-874.6284,802.1581,169,1,192.168.1.229,0
2682,383,-873.3701,801.0041,172,1,192.168.1.229,1
2683,383,-876.8237,805.0781,175,1,192.168.1.229,2
2684,383,-873.7969,807.1136,178,1,192.168.1.229,3
2685,383,-868.5089,801.3463,181,1,192.168.1.229,4
2686,383,-873.8748,796.7277,184,1,192.168.1.229,5
2687,383,-879.0859,798.0602,187,1,192.168.1.229,6
2674,382,-802.0924,874.6884,190,1,192.168.1.229,0
2675,382,-800.9384,873.4301,193,1,192.168.1.229,1
2676,382,-804.0273,877.787,196,1,192.168.1.229,2
2677,382,-800.8362,879.5536,199,1,192.168.1.229,3
2678,382,-796.0659,873.3513,202,1,192.168.1.229,4
2679,382,-801.8105,869.2132,205,1,192.168.1.229,5
2680,382,-806.8872,870.9908,208,1,192.168.1.229,6
2667,381,-723.564,940.6845,211,1,192.168.1.229,0
2668,381,-722.5229,939.3311,214,1,192.168.1.229,1
2669,381,-725.2242,943.9387,217,1,192.168.1.229,2
2670,381,-721.8923,945.423,220,1,192.168.1.229,3
2671,381,-717.6755,938.8319,223,1,192.168.1.229,4
2672,381,-723.7559,935.2054,226,1,192.168.1.229,5
2673,381,-728.6602,937.4148,229,1,192.168.1.229,6
2660,380,-639.6302,999.6528,232,1,192.168.1.229,0
2661,380,-638.71,998.2146,235,1,192.168.1.229,1
2662,380,-641.0033,1003.038,238,1,192.168.1.229,2
2663,380,-637.5557,1004.229,241,1,192.168.1.229,3
2664,380,-633.9238,997.2986,244,1,192.168.1.229,4
2665,380,-640.2947,994.2107,247,1,192.168.1.229,5
2666,380,-644.9898,996.8353,250,1,192.168.1.229,6
2653,379,-550.9178,1051.152,253,1,192.168.1.229,0
2654,379,-550.1251,1049.64,256,1,192.168.1.229,1
2655,379,-551.9933,1054.644,259,1,192.168.1.229,2
2656,379,-548.4557,1055.533,262,1,192.168.1.229,3
2657,379,-545.4359,1048.314,265,1,192.168.1.229,4
