PathId,Host,Universe,ChannelStart,Fixture0,Fixture1,DistanceFt
1,192.168.0.220,1,1,21,276,11.24781
1,192.168.0.220,1,1,276,307,10.62749
1,192.168.0.220,1,1,307,340,11.21266
1,192.168.0.220,1,1,340,374,11.83954
1,192.168.0.220,1,1,374,408,12.50028
2,192.168.0.220,2,127,20,255,10.56263
2,192.168.0.220,2,127,255,288,10.28872
2,192.168.0.220,2,127,288,319,10.84606
2,192.168.0.220,2,127,319,353,11.44763
2,192.168.0.220,2,127,353,387,12.08961
3,192.168.0.220,3,253,19,236,12.69465
3,192.168.0.220,3,253,236,268,9.969046
3,192.168.0.220,3,253,268,299,10.49629
3,192.168.0.220,3,253,299,332,11.07112
3,192.168.0.220,3,253,332,366,11.68844
3,192.168.0.220,3,253,366,400,12.3403
4,192.168.0.220,4,400,18,192,7.983202
4,192.168.0.220,4,400,192,218,9.241761
4,192.168.0.220,4,400,218,247,9.670667
4,192.168.0.220,4,400,247,280,10.16459
4,192.168.0.220,4,400,280,419,10.7108
4,192.168.0.220,4,400,419,345,11.30231
4,192.168.0.220,4,400,345,379,11.93506
4,192.168.0.220,4,400,379,413,12.6065
5,192.168.0.221,-1,85,17,153,8.573943
5,192.168.0.221,-1,85,153,177,8.73673
5,192.168.0.221,-1,85,177,202,9.013814
5,192.168.0.221,-1,85,202,229,9.399051
5,192.168.0.221,-1,85,229,260,9.852754
5,192.168.0.221,-1,85,260,293,10.3677
5,192.168.0.221,-1,85,293,324,10.93188
5,192.168.0.221,-1,85,324,358,11.53956
5,192.168.0.221,-1,85,358,392,12.1873
6,192.168.0.221,-1,295,16,115,13.34926
6,192.168.0.221,-1,295,115,139,8.670049
6,192.168.0.221,-1,295,139,162,8.638684
6,192.168.0.221,-1,295,162,186,8.828215
6,192.168.0.221,-1,295,186,212,9.149347
6,192.168.0.221,-1,295,212,241,9.565937
6,192.168.0.221,-1,295,241,273,10.04335
6,192.168.0.221,-1,295,273,304,10.57798
6,192.168.0.221,-1,295,304,337,11.15932
6,192.168.0.221,-1,295,337,371,11.78262
6,192.168.0.221,-1,295,371,405,12.44511
7,192.168.0.221,-1,43,15,99,16.65835
7,192.168.0.221,-1,43,99,124,8.882282
7,192.168.0.221,-1,43,124,147,8.623293
7,192.168.0.221,-1,43,147,171,8.691387
7,192.168.0.221,-1,43,171,196,8.938692
7,192.168.0.221,-1,43,196,223,9.300407
7,192.168.0.221,-1,43,223,252,9.739647
7,192.168.0.221,-1,43,252,285,10.24184
7,192.168.0.221,-1,43,285,316,10.79506
7,192.168.0.221,-1,43,316,350,11.39287
