PathId,Host,Universe,ChannelStart,Fixture0,Fixture1,DistanceFt
1,192.168.0.220,1,253,21,276,11.2478
1,192.168.0.220,1,253,276,307,10.62748
1,192.168.0.220,1,253,307,340,11.21266
1,192.168.0.220,1,253,340,374,11.83952
1,192.168.0.220,1,253,374,408,12.50028
2,192.168.0.220,2,1,20,255,10.56262
2,192.168.0.220,2,1,255,288,10.28871
2,192.168.0.220,2,1,288,319,10.84606
2,192.168.0.220,2,1,319,353,11.44762
2,192.168.0.220,2,1,353,387,12.08961
3,192.168.0.220,3,1,19,236,12.69464
3,192.168.0.220,3,1,236,268,9.96904
3,192.168.0.220,3,1,268,299,10.49628
3,192.168.0.220,3,1,299,332,11.0711
3,192.168.0.220,3,1,332,366,11.68844
3,192.168.0.220,3,1,366,400,12.3403
4,192.168.0.220,4,1,18,192,7.983194
4,192.168.0.220,4,1,192,218,9.241755
4,192.168.0.220,4,1,218,247,9.670653
4,192.168.0.220,4,1,247,280,10.16458
4,192.168.0.220,4,1,280,419,10.7108
4,192.168.0.220,4,1,419,345,11.30229
4,192.168.0.220,4,1,345,379,11.93505
4,192.168.0.220,4,1,379,413,12.60649
5,192.168.0.221,-1,1,17,153,8.573935
5,192.168.0.221,-1,1,153,177,8.736724
5,192.168.0.221,-1,1,177,202,9.013807
5,192.168.0.221,-1,1,202,229,9.399042
5,192.168.0.221,-1,1,229,260,9.85274
5,192.168.0.221,-1,1,260,293,10.3677
5,192.168.0.221,-1,1,293,324,10.93187
5,192.168.0.221,-1,1,324,358,11.53955
5,192.168.0.221,-1,1,358,392,12.18729
6,192.168.0.221,-1,1,16,115,13.34925
6,192.168.0.221,-1,1,115,139,8.670046
6,192.168.0.221,-1,1,139,162,8.638669
6,192.168.0.221,-1,1,162,186,8.828212
6,192.168.0.221,-1,1,186,212,9.149339
6,192.168.0.221,-1,1,212,241,9.565928
6,192.168.0.221,-1,1,241,273,10.04334
6,192.168.0.221,-1,1,273,304,10.57797
6,192.168.0.221,-1,1,304,337,11.1593
6,192.168.0.221,-1,1,337,371,11.78261
6,192.168.0.221,-1,1,371,405,12.4451
7,192.168.0.221,-1,1,15,99,16.65833
7,192.168.0.221,-1,1,99,124,8.882273
7,192.168.0.221,-1,1,124,147,8.623285
7,192.168.0.221,-1,1,147,171,8.691382
