BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId
0,180.0004,0,180.0004,90,169,20
1,164.4385,73.21274,180.0004,66,148,20
2,120.4437,133.7663,180.0004,42,127,20
3,55.62317,171.1905,180.0004,18.00001,106,20
4,-18.81517,179.0143,180.0004,5.999989,85,20
5,-90.00018,155.8849,180.0004,29.99999,64,20
6,-145.6234,105.8015,180.0004,54.00001,358,20
7,-176.0669,37.42417,180.0003,78,337,20
8,-176.0669,-37.42419,180.0003,102,316,20
9,-145.6233,-105.8016,180.0004,126,295,20
10,-90.00014,-155.8849,180.0003,150,274,20
11,-18.81514,-179.0143,180.0004,174,253,20
12,55.62319,-171.1905,180.0004,162,232,20
13,120.4438,-133.7663,180.0004,138,211,20
14,164.4385,-73.21272,180.0004,114,190,20
15,-226.6909,466.6914,518.8348,25.90773,1,7
16,-238.4373,540.8556,591.0813,23.79038,1,6
17,-272.5269,607.7601,666.0656,24.15204,1,5
18,-325.6227,660.8558,736.7228,26.23079,1,4
19,-392.5271,694.9454,798.1395,29.45914,1,3
20,-466.6914,706.6917,846.8849,33.44033,1,2
21,-540.8556,694.9454,880.6099,37.89258,253,1
22,-607.7601,660.8558,897.8323,42.60338,1,9
23,-660.8558,607.7601,897.8323,47.39662,1,10
24,-694.9454,540.8555,880.6099,52.10743,1,11
25,-706.6917,466.6913,846.8848,56.55967,1,12
26,-694.9454,392.5271,798.1395,60.54087,1,13
27,-660.8557,325.6225,736.7227,63.76921,1,14
28,-607.7601,272.5268,666.0654,65.84797,1,15
29,-540.8553,238.4373,591.0811,66.20961,1,16
30,-466.6912,226.6909,518.8347,64.09226,1,17
31,-392.5269,238.4374,459.2709,58.72373,1,8
32,-325.6224,272.527,424.6186,50.07262,1,20
33,-272.5267,325.6229,424.6187,39.9273,1,19
34,-238.4372,392.5275,459.2713,31.27621,1,18
35,706.692,-466.6912,846.8851,123.4403,22,28
36,694.9454,-392.527,798.1395,119.4591,1,28
37,660.856,-325.6225,736.723,116.2308,253,35
38,607.7603,-272.5267,666.0656,114.152,1,29
39,540.8557,-238.4371,591.0814,113.7904,1,34
40,466.6915,-226.6907,518.8349,115.9077,1,33
41,392.5273,-238.4372,459.2711,121.2762,1,32
42,325.6228,-272.5267,424.6187,129.9273,1,31
43,272.527,-325.6225,424.6186,140.0726,1,30
44,238.4375,-392.527,459.271,148.7237,1,21
45,226.6911,-466.6913,518.8348,154.0923,1,22
46,238.4375,-540.8555,591.0813,156.2096,1,23
47,272.5271,-607.7601,666.0656,155.8479,1,24
48,325.623,-660.8557,736.7228,153.7692,1,25
49,392.5275,-694.9454,798.1396,150.5408,1,26
50,466.6918,-706.6917,846.8851,146.5597,1,27
51,540.856,-694.9451,880.6099,142.1074,22,27
52,607.7606,-660.8554,897.8323,137.3966,43,27
53,660.8561,-607.7597,897.8322,132.6034,64,28
54,694.9457,-540.855,880.6099,127.8925,43,28
55,-79.56292,-221.2081,235.0814,160.2176,106,21
56,211.9862,111.4152,239.4818,62.2746,64,30
57,-235.7658,62.1479,243.8194,75.23273,43,8
58,134.1799,-208.6819,248.0975,147.2595,43,21
59,42.7376,248.6737,252.3194,9.751711,64,19
60,-202.7857,-157.0477,256.4879,127.7561,127,21
61,259.7155,-21.51757,260.6053,94.73618,43,30
62,-179.7345,194.2886,264.6744,42.77161,43,20
63,1.310173,-268.6942,268.6974,179.7209,85,21
64,183.2075,201.9586,272.6761,42.21285,85,30
65,-275.4323,-25.52647,276.6127,95.29492,64,17
66,223.4417,-169.5849,280.5089,127.1973,22,30
67,-50.89647,279.7747,284.3665,10.31048,43,19
68,-153.4904,-243.9108,288.1871,147.8182,85,22
69,281.5888,77.17142,291.9721,74.67399,85,31
70,-263.1005,135.0192,295.7229,62.83379,22,8
71,104.0904,-280.767,299.441,159.6584,64,21
72,114.2922,280.7553,303.1275,22.15066,85,19
73,-277.2268,-131.3827,306.7835,115.3571,64,8
74,296.632,-91.45498,310.4102,107.1351,43,31
75,-158.7698,270.9127,314.0088,30.37265,22,19
76,-66.67681,-310.5018,317.5802,167.8804,64,22
77,261.7964,185.9678,321.1252,54.6118,106,31
78,-322.1526,40.14928,324.6449,82.89597,43,17
79,212.6904,-249.8774,328.1401,139.5963,22,21
80,12.0849,331.3913,331.6116,2.088535,43,18
81,-235.1814,-238.6525,335.0601,135.4197,148,21
82,338.0447,17.28723,338.4864,87.07251,64,31
83,-263.5659,217.7675,341.8913,50.43527,22,20
84,47.71309,-341.9627,345.2753,172.0569,43,22
85,197.718,287.1531,348.6393,34.54919,106,30
86,-343.0206,-78.9259,351.9835,102.9577,85,17
87,309.1396,-175.1488,355.3089,119.5345,22,31
88,-110.6592,341.1157,358.6159,17.97324,22,18
89,-150.1886,-329.2697,361.9049,155.481,106,22
90,336.1748,142.6202,365.1767,67.01121,85,32
91,-347.2914,123.0058,368.4315,70.49657,22,17
92,174.5134,-328.1519,371.67,151.9957,22,22
93,93.78887,362.9713,374.8927,14.48788,64,18
94,-317.0297,-206.038,378.0998,123.0199,85,8
95,376.0932,-62.74976,381.292,99.47234,43,32
96,-30.12188,-386.4606,387.6327,175.5432,43,23
97,285.5627,266.7669,390.7821,46.94902,127,31
98,-393.8993,-3.841457,393.918,90.55875,43,16
99,-38.86922,398.2585,400.1508,5.574326,22,7
100,-242.2193,-322.3957,403.2482,143.0821,169,21
101,399.4129,74.67483,406.3336,79.41016,64,32
102,110.9585,-397.2644,412.4691,164.3946,22,23
103,187.9105,370.6028,415.5199,26.88684,106,19
104,-391.743,-147.4099,418.5597,110.6209,106,17
105,391.244,-157.0515,421.5887,111.8713,22,32
106,-123.9928,-409.2445,427.6158,163.1442,127,22
107,370.4486,219.537,430.6142,59.34797,106,32
108,-424.3775,88.96793,433.603,78.1598,22,16
109,52.23259,436.4379,439.5524,6.82464,85,18
110,-335.5697,-288.4635,442.5135,130.6831,106,8
111,445.2436,-14.06323,445.4656,91.80911,43,33
112,25.24532,-450.638,451.3445,176.7936,64,23
113,287.6397,351.6048,454.2715,39.2858,148,31
114,-452.4912,-65.38215,457.1905,98.22198,64,16
115,-106.0228,450.7026,463.005,13.23752,22,6
116,-227.6825,-406.478,465.9009,150.7453,190,21
117,445.2012,146.8318,468.7896,71.74693,64,33
118,157.1911,450.7929,477.4132,19.22362,127,19
119,-422.9334,-227.5754,480.2741,118.2842,127,17
120,468.3499,-118.5809,483.1284,104.2081,22,33
121,-78.08989,-482.5404,488.8182,170.8075,148,22
122,385.7573,304.8195,491.6539,51.68475,127,32
123,-493.1702,36.01694,494.4837,85.82302,43,15
124,-7.327076,500.0718,500.1255,0.8395343,43,7
125,-334.26,-375.7883,502.938,138.3472,127,8
126,503.1068,51.59156,505.7451,84.14501,43,34
127,96.4344,-502.1676,511.3432,169.1295,85,23
128,269.5651,437.8003,514.1346,31.6217,127,30
129,-497.1786,-141.4944,516.921,105.8861,85,16
130,-193.2926,-488.3919,525.2511,158.4077,211,21
131,474.921,230.7672,528.0184,64.08458,85,33
132,-508.7211,151.4322,530.7814,73.42319,22,15
133,107.4817,525.4133,536.2942,11.56127,106,18
134,-436.3916,-316.435,539.0443,125.9465,148,17
135,538.2584,-61.76192,541.7902,96.54572,22,34
136,-14.61397,-547.075,547.2701,178.4698,169,22
137,382.2198,395.4906,550.0044,44.0224,169,31
138,-551.7124,-33.60279,552.7348,93.48537,64,15
139,-82.5138,552.0523,558.1848,8.500919,43,6
140,-313.5833,-465.0585,560.9045,146.0087,148,8
141,548.01,131.7321,563.6207,76.48354,64,34
142,232.1889,522.4809,571.7499,23.96023,148,19
143,-526.6177,-229.4998,574.4531,113.5476,106,16
144,-140.2311,-565.415,582.5452,166.0709,232,21
