BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
0,1519.002,-2084.003,2578.844,143.9122,127,9,145,2578.379,-48.95913
1,1528.002,-1984.003,2504.208,142.3979,106,9,140,2502.015,104.7746
2,1381.002,-2164.003,2567.115,147.4552,43,9,145,2564.758,109.9701
3,1390.002,-2064.003,2488.416,146.0417,64,9,145,2488.005,45.23996
4,1394.002,-1969.003,2412.512,144.7025,85,9,145,2412.479,-12.52645
5,1222.002,-1186.002,1702.906,134.1435,358,8,135,1702.716,-25.45628
6,1175.002,-1096.001,1606.813,133.0077,379,8,135,1605.842,-55.86187
7,1100.002,-1002.001,1487.955,132.3307,442,8,130,1486.724,60.50982
8,1243.002,-2126.003,2462.71,149.6866,148,8,150,2462.674,-13.46999
9,1252.002,-2026.003,2381.637,148.2853,169,8,150,2380.57,-71.26417
10,1256.002,-1931.003,2303.543,146.9584,190,8,145,2302.198,78.72079
11,1260.002,-1831.003,2222.651,145.4662,211,8,145,2222.577,18.08676
12,1241.002,-1732.002,2130.708,144.3779,232,8,145,2130.583,-23.13373
13,1164.002,-1441.002,1852.4,141.0697,295,8,140,1852.077,34.58078
14,1133.002,-1342.002,1756.321,139.8268,316,8,140,1756.313,-5.3077
15,1116.002,-1243.002,1670.483,138.0816,337,8,140,1669.547,-55.92094
16,1084.001,-1148.002,1578.913,136.6424,400,8,135,1578.265,45.25475
17,1037.001,-1058.001,1481.465,135.5743,421,8,135,1481.391,14.84898
18,988.0015,-968.0014,1383.175,134.4142,463,8,135,1383.103,-14.14244
19,881.0013,-796.0011,1187.342,132.0984,1,8,130,1186.546,43.47526
20,938.0013,-878.0012,1284.808,133.1077,484,8,135,1284.108,-42.42671
21,809.0011,-718.0011,1081.669,131.5895,22,8,130,1081.253,30.00467
22,1189.002,-1538.002,1944.01,142.293,274,8,140,1942.454,77.78035
23,1209.002,-1637.002,2035.058,143.5524,253,8,145,2034.409,-51.41048
24,1239.002,-2232.003,2552.834,150.965,127,8,150,2552.473,42.99434
25,609.0009,-538.0007,812.605,131.4579,106,7,130,812.342,20.6741
26,660.0009,-625.0009,908.9705,133.4398,85,7,135,908.6334,-24.74887
27,1121.002,-2130.003,2406.981,152.2426,253,7,150,2405.137,94.18526
28,1130.001,-2030.003,2323.32,150.8975,274,7,150,2323.035,36.39123
29,1134.002,-1935.003,2242.81,149.6277,295,7,150,2242.762,-14.57329
30,1138.002,-1835.003,2159.232,148.1943,316,7,150,2158.16,-68.03722
31,1119.001,-1736.003,2065.398,147.1948,337,7,145,2063.883,79.09751
32,1042.001,-1445.002,1781.516,144.2043,400,7,145,1781.344,-24.73861
33,1011.001,-1346.002,1683.403,143.0893,421,7,145,1682.467,-56.12892
34,994.0015,-1247.002,1594.695,141.4412,442,7,140,1594.191,40.10786
35,962.0013,-1152.002,1500.851,140.1358,463,7,140,1500.847,3.556576
36,915.0013,-1062.001,1401.811,139.2524,484,7,140,1401.692,-18.2905
37,866.0012,-972.0014,1301.824,138.3007,1,7,140,1301.251,-38.60508
38,759.0012,-800.0012,1102.762,136.5065,43,7,135,1102.381,28.99121
39,816.0012,-882.0012,1201.576,137.2259,22,7,135,1200.669,46.66888
40,707.0011,-718.0011,1007.659,135.4423,64,7,135,1007.629,7.778002
41,1067.001,-1542.002,1875.17,145.3184,379,7,145,1875.141,10.41954
42,1087.001,-1641.002,1968.365,146.4795,358,7,145,1967.709,50.82049
43,1117.002,-2236.003,2499.481,153.4554,232,7,155,2498.572,-67.37151
44,1055.001,-2304.003,2534.06,155.397,211,7,155,2533.999,17.5576
45,472.0007,-518.0007,700.792,137.6603,190,6,140,700.2078,-28.60912
46,523.0007,-605.0009,799.7223,139.1578,169,6,140,799.6359,-11.75485
47,984.0014,-2110.003,2328.169,154.998,337,6,155,2328.169,-0.08256575
48,993.0015,-2010.003,2241.911,153.7093,358,6,155,2241.342,-50.50119
49,997.0013,-1915.003,2158.992,152.4973,379,6,150,2156.942,94.07262
50,1001.001,-1815.003,2072.737,151.1226,400,6,150,2072.339,40.60836
