StalkId,PlantId,x,z,ChannelStart,Universe,IPAddress,StemIndex
0,0,1519.302,-2084.49,127,2,192.168.0.222,0
1,0,1518.296,-2083.111,130,2,192.168.0.222,1
2,0,1520.877,-2087.786,133,2,192.168.0.222,2
3,0,1517.508,-2089.184,136,2,192.168.0.222,3
4,0,1513.463,-2082.486,139,2,192.168.0.222,4
5,0,1519.636,-2079.018,142,2,192.168.0.222,5
6,0,1524.481,-2081.354,145,2,192.168.0.222,6
7,1,1528.315,-1984.482,106,2,192.168.0.222,0
8,1,1527.273,-1983.13,109,2,192.168.0.222,1
9,1,1529.977,-1987.736,112,2,192.168.0.222,2
10,1,1526.646,-1989.222,115,2,192.168.0.222,3
11,1,1522.425,-1982.633,118,2,192.168.0.222,4
12,1,1528.504,-1979.003,121,2,192.168.0.222,5
13,1,1533.409,-1981.21,124,2,192.168.0.222,6
14,2,1381.271,-2164.508,43,2,192.168.0.222,0
15,2,1380.353,-2163.069,46,2,192.168.0.222,1
16,2,1382.64,-2167.896,49,2,192.168.0.222,2
17,2,1379.191,-2169.082,52,2,192.168.0.222,3
18,2,1375.568,-2162.147,55,2,192.168.0.222,4
19,2,1381.942,-2159.067,58,2,192.168.0.222,5
20,2,1386.634,-2161.698,61,2,192.168.0.222,6
21,3,1390.284,-2064.501,64,2,192.168.0.222,0
22,3,1389.33,-2063.085,67,2,192.168.0.222,1
23,3,1391.736,-2067.854,70,2,192.168.0.222,2
24,3,1388.317,-2069.125,73,2,192.168.0.222,3
25,3,1384.523,-2062.281,76,2,192.168.0.222,4
26,3,1390.82,-2059.045,79,2,192.168.0.222,5
27,3,1395.576,-2061.559,82,2,192.168.0.222,6
28,4,1394.295,-1969.494,85,2,192.168.0.222,0
29,4,1393.309,-1968.101,88,2,192.168.0.222,1
30,4,1395.825,-1972.812,91,2,192.168.0.222,2
31,4,1392.437,-1974.163,94,2,192.168.0.222,3
32,4,1388.485,-1967.41,97,2,192.168.0.222,4
33,4,1394.704,-1964.027,100,2,192.168.0.222,5
34,4,1399.517,-1966.429,103,2,192.168.0.222,6
35,5,1222.38,-1186.431,358,1,192.168.0.222,0
36,5,1221.155,-1185.242,361,1,192.168.0.222,1
37,5,1224.492,-1189.412,364,1,192.168.0.222,2
38,5,1221.409,-1191.361,367,1,192.168.0.222,3
39,5,1216.286,-1185.447,370,1,192.168.0.222,4
40,5,1221.78,-1180.982,373,1,192.168.0.222,5
41,5,1226.952,-1182.461,376,1,192.168.0.222,6
42,6,1175.388,-1096.424,379,1,192.168.0.222,0
43,6,1174.14,-1095.259,382,1,192.168.0.222,1
44,6,1177.559,-1099.362,385,1,192.168.0.222,2
45,6,1174.515,-1101.372,388,1,192.168.0.222,3
46,6,1169.276,-1095.56,391,1,192.168.0.222,4
47,6,1174.681,-1090.987,394,1,192.168.0.222,5
48,6,1179.88,-1092.364,397,1,192.168.0.222,6
49,7,1100.393,-1002.419,442,1,192.168.0.222,0
50,7,1099.131,-1001.269,445,1,192.168.0.222,1
