BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
0,118.3748,43.23021,126.0216,69.93793,1,0,70,126.0216,-0.1365283
1,-123.5537,51.00124,133.6662,292.4302,232,15,290,133.5459,5.667635
2,59.71836,-127.6148,140.8965,154.9224,400,6,155,140.8964,-0.1908756
3,44.22625,141.0002,147.7735,17.41461,337,19,15,147.6423,6.225745
4,-133.5406,-77.38918,154.3444,239.9069,295,12,240,154.3441,-0.2506903
5,156.8998,-34.49396,160.6467,102.399,316,2,100,160.5059,6.724516
6,-95.88068,136.3798,166.711,324.8912,43,17,325,166.7107,-0.3166048
7,-22.17636,-171.1313,172.5623,187.3836,211,8,185,172.4129,7.176903
8,136.2771,114.8541,178.2215,49.87585,22,0,50,178.2211,-0.3861623
9,-183.5497,7.590589,183.7065,272.3681,85,14,270,183.5497,7.590605
10,133.9916,-133.3399,189.0325,134.8603,421,6,135,189.0319,-0.4608883
11,-8.970764,194.0051,194.2124,357.3525,358,19,355,194.0488,7.972038
12,-127.6664,-152.9868,199.2578,219.8448,148,11,220,199.257,-0.5398383
13,202.355,27.22644,204.1784,82.33698,337,2,80,204.0086,8.325768
14,-171.5456,119.3571,208.9833,304.8292,400,16,305,208.9823,-0.6228918
15,46.89793,-208.4701,213.6801,167.3217,232,8,165,213.5047,8.656093
16,108.5234,189.386,218.2759,29.8139,43,0,30,218.2748,-0.7089843
17,-212.238,-67.70967,222.7769,252.3059,442,13,250,222.5966,8.963394
18,206.2399,-95.28809,227.1888,114.7981,253,5,115,227.1874,-0.8004876
19,-89.37874,213.5681,231.5165,337.2906,190,18,335,231.3316,9.253157
20,-79.79424,-221.8513,235.765,199.7823,1,10,200,235.7632,-0.8955171
21,212.391,111.6259,239.9381,62.27502,358,2,60,239.749,9.524672
22,-235.9791,62.20412,244.0399,284.7673,253,15,285,244.0379,-0.9913295
23,134.1671,-208.662,248.0738,147.2595,64,7,145,247.881,9.780357
24,42.69083,248.4015,252.0433,9.751709,1,20,10,252.041,-1.092226
25,-202.3614,-156.7191,255.9512,232.2439,316,12,230,255.7549,10.02154
26,258.9132,-21.45109,259.8003,94.73618,127,4,95,259.7976,-1.196382
27,-179.0002,193.495,263.5932,317.2284,64,17,315,263.3939,10.24934
28,1.303517,-267.3291,267.3322,179.7206,379,9,180,267.3291,-1.303514
29,182.0946,200.7319,271.0198,42.21286,190,1,40,270.8177,10.46459
30,-273.4858,-25.34606,274.6578,264.7051,106,14,265,274.6541,-1.413733
31,221.641,-168.2182,278.2483,127.1973,442,6,125,278.0437,10.66822
32,-50.43586,277.2427,281.793,349.6895,379,19,350,281.7889,-1.526922
33,-151.9512,-241.4608,285.2937,212.1822,169,11,210,285.0868,10.86325
34,278.4831,76.32028,288.7519,74.67398,1,3,75,288.7472,-1.642995
35,-259.9387,133.3967,292.1691,297.1662,421,16,295,291.9604,11.04355
36,102.7368,-277.1158,295.547,159.6584,253,8,160,295.5417,-1.761851
37,112.6932,276.8274,298.8865,22.15067,64,0,20,298.676,11.21647
38,-273.0762,-129.4131,302.1893,244.6433,463,13,245,302.1834,-1.881126
39,291.8979,-89.99541,305.4564,107.1351,274,5,105,305.2443,11.38006
40,-156.0778,266.324,308.6887,329.6278,211,18,330,308.6822,-2.005309
41,-65.48166,-304.9362,311.8877,192.1196,22,10,190,311.6743,11.53524
42,256.847,182.452,315.0541,54.61182,379,2,55,315.0469,-2.134528
43,-315.7464,39.35088,318.1891,277.104,274,15,275,317.9746,11.68198
44,208.2526,-244.6637,321.2935,139.5963,85,7,140,321.2855,-2.264009
45,11.8234,324.1525,324.3681,2.088928,22,20,0,324.1525,11.82342
46,-229.818,-233.2028,327.4138,224.5812,337,12,225,327.4051,-2.393466
47,330.0005,16.87082,330.4315,87.07336,148,4,85,330.2152,11.95482
48,-257.0368,212.373,333.4219,309.5647,85,17,310,333.4124,-2.532949
49,46.47957,-333.1591,336.3857,172.0578,400,9,170,336.1688,12.07903
50,192.4393,279.4775,339.3237,34.55005,211,1,35,339.3132,-2.664651
51,-333.5217,-76.74029,342.2364,257.0423,127,14,255,342.019,12.19634
52,300.2787,-170.1284,345.1245,119.5345,463,6,120,345.1132,-2.803929
53,-107.3799,331.007,347.9886,342.0267,400,19,340,347.7709,12.30696
54,-145.5923,-319.193,350.8294,204.519,190,11,205,350.817,-2.945301
55,325.5612,138.1174,353.6474,67.0112,22,3,65,353.4296,12.41125
56,-335.9909,119.0032,356.4431,289.5034,442,16,290,356.4297,-3.089224
57,168.6662,-317.157,359.217,151.9957,274,8,150,358.9991,12.50922
58,90.55583,350.4592,361.9696,14.48788,85,0,15,361.9552,-3.23532
59,-305.7955,-198.7368,364.7015,236.9801,484,13,235,364.4838,12.60136
60,362.4035,-60.4657,367.4131,99.47235,295,5,100,367.3975,-3.383712
61,-228.0396,291.5056,370.1048,321.9646,232,18,320,369.8873,12.68775
62,-28.9675,-371.6499,372.7771,184.4568,43,10,185,372.7603,-3.534143
63,274.3444,256.287,375.4303,46.94901,400,2,45,375.2131,12.76847
64,-378.047,-3.686859,378.065,269.4412,295,15,270,378.047,-3.686826
65,283.197,-254.3969,380.6814,131.9335,106,7,130,380.4647,12.84377
66,-37.23045,381.4674,383.2799,354.4257,43,20,355,383.2607,-3.841696
67,-231.7753,-308.4946,385.861,216.9179,358,12,215,385.6447,12.914
68,381.8092,71.38361,388.4248,79.41016,169,4,80,388.4042,-3.998657
69,-331.9154,206.6183,390.9719,301.9024,106,17,300,390.7564,12.97899
70,105.8562,-378.9969,393.5025,164.3946,421,9,165,393.4805,-4.157682
71,179.0906,353.2079,396.0168,26.88684,232,1,25,395.802,13.03911
72,-372.9829,-140.3506,398.5154,249.3791,148,14,250,398.492,-4.318735
73,372.1357,-149.3811,400.9984,111.8713,484,6,110,400.7845,13.09431
74,-174.5581,363.7505,403.4662,334.3644,421,19,335,403.4413,-4.475691
75,-117.7015,-388.4797,405.9189,196.8557,211,11,195,405.706,13.14499
76,351.3009,208.1896,408.3568,59.34796,43,3,60,408.3303,-4.647001
77,-402.0392,84.29121,410.7803,281.8411,463,16,280,410.5683,13.19722
78,240.9233,-335.6809,413.1896,144.3324,295,8,145,413.1616,-4.814208
79,49.3845,412.6403,415.5849,6.824646,106,0,5,415.3742,13.23258
80,-316.9551,-272.4619,417.9666,229.3169,1,13,230,417.9368,-4.983191
81,420.1249,-13.27626,420.3346,91.81,316,5,90,420.1249,13.27634
82,-302.5089,295.2199,422.6895,314.3013,253,18,315,422.6581,-5.154102
83,23.77353,-424.3658,425.0312,176.7936,64,10,175,424.823,13.30286
84,270.6049,330.7715,427.3602,39.28668,421,2,40,427.3271,-5.320481
85,-425.2601,-61.44744,429.6766,261.778,316,15,260,429.4697,13.33175
86,356.9846,-243.247,431.9805,124.2703,127,7,125,431.9454,-5.501807
87,-99.44329,422.7332,434.2722,346.7625,64,20,345,434.0667,13.35655
