StalkId,PlantId,x,z,ChannelStart,Universe,IPAddress,StemIndex
0,0,118.9261,43.38374,1,1,192.168.0.221,0
1,0,117.3223,42.79803,4,1,192.168.0.221,1
2,0,122.529,43.98808,7,1,192.168.0.221,2
3,0,122.9423,40.364,10,1,192.168.0.221,3
4,0,115.388,38.3253,13,1,192.168.0.221,4
5,0,113.7586,45.21504,16,1,192.168.0.221,5
6,0,117.3409,49.22746,19,1,192.168.0.221,6
7,1,-124.0639,51.26043,232,1,192.168.0.222,0
8,1,-122.4856,50.60896,235,1,192.168.0.222,1
9,1,-127.1288,53.24851,238,1,192.168.0.222,2
10,1,-124.9855,56.19996,241,1,192.168.0.222,3
11,1,-118.038,52.60037,244,1,192.168.0.222,4
12,1,-121.4905,46.41945,247,1,192.168.0.222,5
13,1,-126.8424,45.88065,250,1,192.168.0.222,6
14,2,59.9195,-128.1506,400,3,192.168.0.225,0
15,2,59.19582,-126.6041,403,3,192.168.0.225,1
16,2,60.83651,-131.6868,406,3,192.168.0.225,2
17,2,57.26244,-132.4154,409,3,192.168.0.225,3
18,2,54.5711,-125.0682,412,3,192.168.0.225,4
19,2,61.29201,-122.8427,415,3,192.168.0.225,5
20,2,65.60226,-126.0605,418,3,192.168.0.225,6
21,3,44.43984,141.5311,337,1,192.168.0.223,0
22,3,43.92884,139.9019,340,1,192.168.0.223,1
23,3,46.15236,144.758,343,1,192.168.0.223,2
24,3,49.27988,142.881,346,1,192.168.0.223,3
25,3,46.30146,135.6454,349,1,192.168.0.223,4
26,3,39.84237,138.5443,352,1,192.168.0.223,5
27,3,38.83774,143.8286,355,1,192.168.0.223,6
28,4,-134.0567,-77.63638,295,1,192.168.0.224,0
29,4,-132.5795,-76.78027,298,1,192.168.0.224,1
30,4,-137.4993,-78.85904,301,1,192.168.0.224,2
31,4,-138.5375,-75.36235,304,1,192.168.0.224,3
32,4,-131.4538,-72.03899,307,1,192.168.0.224,4
33,4,-128.6492,-78.5396,310,1,192.168.0.224,5
34,4,-131.4779,-83.11466,313,1,192.168.0.224,6
35,5,157.4473,-34.66032,316,3,192.168.0.221,0
36,5,155.7798,-34.2937,319,3,192.168.0.221,1
37,5,160.8116,-36.08416,322,3,192.168.0.221,2
38,5,159.2152,-39.36382,325,3,192.168.0.221,3
39,5,151.747,-37.02938,328,3,192.168.0.221,4
40,5,154.0701,-30.34158,331,3,192.168.0.221,5
41,5,159.2463,-28.87881,334,3,192.168.0.221,6
42,6,-96.17207,136.8723,43,3,192.168.0.222,0
43,6,-95.19008,135.4756,46,3,192.168.0.222,1
44,6,-97.69102,140.1948,49,3,192.168.0.222,2
45,6,-94.29849,141.5347,52,3,192.168.0.222,3
46,6,-90.36853,134.7687,55,3,192.168.0.222,4
47,6,-96.59905,131.4065,58,3,192.168.0.222,5
48,6,-101.4039,133.8244,61,3,192.168.0.222,6
49,7,-22.29422,-171.6914,211,1,192.168.0.226,0
50,7,-22.07479,-169.9981,214,1,192.168.0.226,1
51,7,-23.41848,-175.1673,217,1,192.168.0.226,2
52,7,-26.82515,-173.8637,220,1,192.168.0.226,3
53,7,-25.15255,-166.22,223,1,192.168.0.226,4
54,7,-18.28726,-167.9495,226,1,192.168.0.226,5
55,7,-16.37757,-172.978,229,1,192.168.0.226,6
56,8,136.7422,115.1875,22,1,192.168.0.221,0
57,8,135.4367,114.0871,25,1,192.168.0.221,1
58,8,139.9192,116.9911,28,1,192.168.0.221,2
59,8,141.5506,113.7287,31,1,192.168.0.221,3
60,8,135.154,109.2222,34,1,192.168.0.221,4
61,8,131.2601,115.135,37,1,192.168.0.221,5
62,8,133.2486,120.1328,40,1,192.168.0.221,6
63,9,-184.1178,7.659029,85,3,192.168.0.224,0
64,9,-182.4119,7.58848,88,3,192.168.0.224,1
65,9,-187.6787,8.475106,91,3,192.168.0.224,2
66,9,-186.6779,11.98269,94,3,192.168.0.224,3
67,9,-178.9173,10.98476,97,3,192.168.0.224,4
68,9,-180.04,3.994552,100,3,192.168.0.224,5
69,9,-184.8822,1.652552,103,3,192.168.0.224,6
70,10,134.3643,-133.7741,421,3,192.168.0.225,0
71,10,133.1541,-132.5697,424,3,192.168.0.225,1
72,10,136.4388,-136.7812,427,3,192.168.0.225,2
73,10,133.3315,-138.6916,430,3,192.168.0.225,3
74,10,128.2831,-132.7135,433,3,192.168.0.225,4
75,10,133.8328,-128.3175,436,3,192.168.0.225,5
76,10,138.9853,-129.8615,439,3,192.168.0.225,6
77,11,-8.952259,194.5771,358,1,192.168.0.223,0
78,11,-8.873392,192.8715,361,1,192.168.0.223,1
79,11,-8.45062,198.1957,364,1,192.168.0.223,2
80,11,-4.868969,197.5054,367,1,192.168.0.223,3
81,11,-5.184597,189.6872,370,1,192.168.0.223,4
82,11,-12.24619,190.1945,373,1,192.168.0.223,5
83,11,-15.00257,194.8135,376,1,192.168.0.223,6
84,12,-128.0664,-153.396,148,4,192.168.0.226,0
85,12,-126.9724,-152.0851,151,4,192.168.0.226,1
86,12,-130.8806,-155.7254,154,4,192.168.0.226,2
87,12,-133.0553,-152.797,157,4,192.168.0.226,3
88,12,-127.5415,-147.2453,160,4,192.168.0.226,4
