PathId,Host,Universe,ChannelStart,Fixture0,Fixture1,DistanceFt
0,192.168.0.220,1,1,43,30,5.935226
0,192.168.0.220,1,1,30,38,7.255899
0,192.168.0.220,1,1,38,46,8.016087
0,192.168.0.220,1,1,46,25,7.089162
0,192.168.0.220,1,1,25,33,6.777874
0,192.168.0.220,1,1,33,20,5.77521
0,192.168.0.220,1,1,20,41,7.339215
0,192.168.0.220,1,1,41,28,5.885098
0,192.168.0.220,1,1,28,49,6.982766
0,192.168.0.220,1,1,49,36,6.119584
0,192.168.0.220,1,1,36,44,7.827101
0,192.168.0.220,1,1,44,31,5.962703
0,192.168.0.220,1,1,31,23,6.587759
0,192.168.0.220,1,1,23,15,5.860189
0,192.168.0.220,1,1,15,7,5.375925
0,192.168.0.220,1,1,7,12,6.205871
0,192.168.0.220,1,1,12,17,7.313004
0,192.168.0.220,1,1,17,4,6.939514
0,192.168.0.220,1,1,4,9,5.560088
0,192.168.0.220,1,1,9,22,6.152303
1,192.168.0.220,2,442,35,14,7.820331
1,192.168.0.220,2,442,14,6,5.36983
1,192.168.0.220,2,442,6,1,5.179856
1,192.168.0.220,2,442,1,0,4.412479
1,192.168.0.220,2,442,0,2,5.413923
1,192.168.0.220,2,442,2,5,6.152607
1,192.168.0.220,2,442,5,10,5.76631
1,192.168.0.220,2,442,10,18,5.494782
1,192.168.0.220,2,442,18,39,7.472636
1,192.168.0.220,2,442,39,26,5.842391
1,192.168.0.220,2,442,26,47,7.050558
1,192.168.0.220,2,442,47,34,6.053452
1,192.168.0.220,2,442,34,13,7.928878
1,192.168.0.220,2,442,13,21,5.69899
1,192.168.0.220,2,442,21,8,6.254486
1,192.168.0.220,2,442,8,3,5.375587
1,192.168.0.220,2,442,3,11,5.554627
1,192.168.0.220,2,442,11,19,5.556213
2,192.168.0.220,3,337,48,27,7.015157
2,192.168.0.220,3,337,27,40,5.86294
2,192.168.0.220,3,337,40,32,7.446737
2,192.168.0.220,3,337,32,45,5.991738
2,192.168.0.220,3,337,45,24,7.13109
2,192.168.0.220,3,337,24,16,5.94557
2,192.168.0.220,3,337,16,37,7.631081
2,192.168.0.220,3,337,37,50,6.154214
2,192.168.0.220,3,337,50,29,6.953074
2,192.168.0.220,3,337,29,42,5.909312
