BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
0,-34.28234,127.5291,132.0567,344.9535,421,2,345,132.0566,-0.1072291
1,-65.89073,-126.8689,142.9591,207.4456,337,2,205,142.8289,6.100174
2,143.88,52.54463,153.1744,69.93793,484,2,70,153.1743,-0.1659542
3,-150.5133,62.12981,162.8324,292.4302,379,2,290,162.6859,6.904327
4,72.91306,-155.8112,172.0274,154.9224,295,2,155,172.0273,-0.2330428
5,54.11977,172.5422,180.8308,17.41461,463,2,15,180.6702,7.618468
6,-163.7825,-94.91487,189.2975,239.9069,358,2,240,189.2972,-0.3074591
7,192.8655,-42.40094,197.4714,102.3991,484,1,100,197.2983,8.265978
8,-118.1249,168.0198,205.3878,324.8912,400,2,325,205.3875,-0.3900602
9,-27.38288,-211.3092,213.0761,187.3836,316,2,185,212.8917,8.861877
10,168.6514,142.1392,220.5603,49.87585,43,1,50,220.5598,-0.4778982
11,-227.6664,9.415013,227.861,272.3681,169,1,270,227.6664,9.415033
12,166.5717,-165.7615,234.9958,134.8603,463,1,135,234.9951,-0.572949
13,-11.17716,241.7214,241.9797,357.3525,442,2,355,241.7757,9.932791
14,-159.4251,-191.0443,248.8258,219.8448,211,1,220,248.8249,-0.6741316
15,253.2634,34.07606,255.5455,82.33698,1,1,80,255.333,10.42036
16,-215.1871,149.7218,262.149,304.8292,127,1,305,262.1479,-0.781373
17,58.96151,-262.0949,268.6451,167.3217,274,2,165,268.4247,10.88271
18,136.7466,238.6388,275.042,29.8139,64,1,30,275.0406,-0.8933632
19,-268.0369,-85.51106,281.3466,252.3059,190,1,250,281.1188,11.31991
20,261.0493,-120.6114,287.5654,114.7981,43,0,115,287.5636,-1.013241
21,-113.3868,270.9346,293.7042,337.2906,106,1,335,293.4695,11.73862
22,-101.456,-282.0773,299.7682,199.7824,232,1,200,299.766,-1.138622
23,270.6579,142.2491,305.7621,62.27502,22,1,60,305.5211,12.13764
24,-301.3951,79.44781,311.6906,284.7673,148,1,285,311.688,-1.266134
25,171.7462,-267.1065,317.5573,147.2595,442,1,145,317.3104,12.51974
26,54.77142,318.6938,323.3661,9.751709,85,1,10,323.3631,-1.401296
27,-260.2108,-201.5207,329.1204,232.2439,358,0,230,328.868,12.88644
28,333.68,-27.64556,334.8232,94.73618,85,0,95,334.8197,-1.541864
29,-231.2106,249.9331,340.4774,317.2284,253,0,315,340.2199,13.2388
30,1.687521,-346.0818,346.0859,179.7206,253,1,180,346.0818,-1.687516
31,236.2696,260.4516,351.6509,42.21286,148,0,40,351.3887,13.57793
32,-355.6508,-32.96093,357.1749,264.7051,316,0,265,357.1702,-1.838471
33,288.8799,-219.2504,362.6601,127.1973,22,0,125,362.3934,13.90461
34,-65.88475,362.1643,368.1084,349.6895,211,0,350,368.1029,-1.994636
35,-198.9427,-316.1334,373.5218,212.1822,379,0,210,373.2509,14.22273
36,365.4273,100.1479,378.902,74.67398,106,0,75,378.8958,-2.155925
37,-341.8625,175.4387,384.2508,297.1662,274,0,295,383.9762,14.52408
38,135.4205,-365.2749,389.5696,159.6584,421,1,160,389.5627,-2.32232
39,148.8795,365.7177,394.8601,22.15067,169,0,20,394.5821,14.81811
40,-361.5755,-171.3537,400.1237,244.6433,337,0,245,400.1159,-2.490738
41,387.3686,-119.4301,405.3615,107.1351,64,0,105,405.0801,15.10217
42,-207.593,354.2273,410.575,329.6278,232,0,330,410.5663,-2.667137
43,-87.29105,-406.4985,415.7653,192.1196,400,0,190,415.4808,15.37719
44,343.1647,243.7681,420.9333,54.61182,127,0,55,420.9237,-2.851909
45,-422.8096,52.69396,426.0805,277.104,295,0,275,425.7932,15.6431
46,279.4957,-328.363,431.2078,139.5963,1,0,140,431.1971,-3.038518
47,15.90397,436.026,436.316,2.088928,190,0,0,436.026,15.90399
