BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
0,0.0001032523,0.0001314121,0.0001671232,90,22,1,85,0.0001143127,0.000121913
1,4.629225,-52.74691,52.94965,174.9844,1,1,175,52.94965,-0.0144136
2,39.52865,51.55806,64.96728,37.47675,43,1,35,64.90659,2.807486
3,-74.00407,-13.09011,75.15287,259.9691,274,1,260,75.15285,-0.04056288
4,71.02342,-45.17911,84.17528,122.4611,379,0,120,84.09763,3.614528
5,-23.98108,89.20879,92.37587,344.9535,64,1,345,92.37582,-0.07501265
6,-46.07101,-88.70718,99.9575,207.4456,484,1,205,99.86646,4.265256
7,100.5562,36.7229,107.052,69.93793,316,0,70,107.0519,-0.1159805
8,-105.145,43.4024,113.7508,292.4302,253,1,290,113.6485,4.823191
9,50.91249,-108.7971,120.1204,154.9224,400,0,155,120.1203,-0.1627429
10,37.77288,120.4258,126.2108,17.41461,85,1,15,126.0987,5.317314
11,-114.2607,-66.21609,132.0609,239.9069,295,1,240,132.0607,-0.2144909
12,134.4897,-29.56718,137.7015,102.3991,337,0,100,137.5808,5.76406
13,-82.33439,117.1117,143.1576,324.8912,211,1,325,143.1573,-0.2718731
14,-19.07761,-147.2188,148.4498,187.3836,463,1,185,148.3213,6.174055
15,117.4464,98.98369,153.595,49.87585,295,0,50,153.5947,-0.3327989
16,-158.4725,6.55354,158.608,272.3681,463,2,270,158.4725,6.553554
17,115.8942,-115.3304,163.501,134.8603,358,0,135,163.5005,-0.3986377
18,-7.773143,168.1049,168.2846,357.3525,106,1,355,168.1427,6.907752
19,-110.8223,-132.802,172.9681,219.8448,316,1,220,172.9674,-0.4686104
20,175.9738,23.67691,177.5595,82.33698,127,0,80,177.4118,7.240325
21,-149.4505,103.9838,182.0661,304.8292,232,1,305,182.0653,-0.5426812
22,40.93122,-181.947,186.4941,167.3217,421,0,165,186.3411,7.554812
23,94.88724,165.5893,190.8492,29.8139,274,0,30,190.8482,-0.6198884
24,-185.905,-59.30873,195.1363,252.3059,442,2,250,194.9783,7.851266
25,180.9773,-83.6161,199.36,114.7981,85,0,115,199.3588,-0.7024178
26,-78.57224,187.7462,203.5246,337.2906,148,1,335,203.362,8.134372
27,-70.2732,-195.38,207.6335,199.7823,358,2,200,207.632,-0.7886702
28,187.3863,98.48418,211.6902,62.27502,169,0,60,211.5234,8.403335
29,-208.5732,54.97993,215.6979,284.7673,22,2,285,215.6961,-0.8761995
30,118.7995,-184.7617,219.6593,147.2595,22,0,145,219.4885,8.660114
31,37.86924,220.3465,223.577,9.751709,253,0,10,223.5749,-0.9688556
32,-179.8303,-139.2699,227.4534,232.2439,400,2,230,227.279,8.905728
33,230.5011,-19.09714,231.2909,94.73618,106,0,95,231.2884,-1.065092
34,-159.6452,172.5726,235.0912,317.2284,190,1,315,234.9134,9.141084
35,1.164669,-238.8537,238.8565,179.7206,442,1,180,238.8537,-1.164666
36,162.992,179.6741,242.5885,42.21286,211,0,40,242.4075,9.366841
37,-245.2378,-22.72809,246.2887,264.7051,484,2,265,246.2855,-1.267706
38,199.1068,-151.1155,249.9588,127.1973,43,0,125,249.775,9.583589
39,-45.38985,249.5051,253.6002,349.6895,127,1,350,253.5965,-1.37416
40,-136.9957,-217.6954,257.2142,212.1822,379,2,210,257.0276,9.794061
41,251.5273,68.93285,260.8021,74.67398,148,0,75,260.7979,-1.483961
42,-235.2018,120.7021,264.3651,297.1662,43,2,295,264.1761,9.992615
43,93.12774,-251.197,267.9043,159.6584,1,0,160,267.8995,-1.59704
44,102.3374,251.3886,271.4207,22.15067,232,0,20,271.2295,10.18572
45,-248.4299,-117.733,274.9154,244.6433,421,2,245,274.9101,-1.711331
46,266.0323,-82.02077,278.3893,107.1351,64,0,105,278.196,10.37169
47,-142.5043,243.1628,281.8432,329.6278,169,1,330,281.8373,-1.830931
48,-59.89491,-278.9197,285.2782,192.1196,337,2,190,285.0829,10.55108
49,235.3575,167.1869,288.6947,54.61182,190,0,55,288.6881,-1.955949
50,-289.8515,36.12364,292.0939,277.104,1,2,275,291.8969,10.72391
