StalkId,PlantId,x,z,ChannelStart,Universe,IPAddress,StemIndex
0,0,0.3878898,0.4209945,22,2,192.168.0.220,0
1,0,-0.6669885,-0.9215778,25,2,192.168.0.220,1
2,0,3.13229,2.832247,28,2,192.168.0.220,2
3,0,5.392299,-0.03080611,31,2,192.168.0.220,3
4,0,0.04432804,-5.742472,34,2,192.168.0.220,4
5,0,-4.969391,-0.743864,37,2,192.168.0.220,5
6,0,-4.037375,4.553684,40,2,192.168.0.220,6
7,1,4.634369,-53.31916,1,2,192.168.0.220,0
8,1,4.485096,-51.61829,4,2,192.168.0.220,1
9,1,4.28268,-56.95539,7,2,192.168.0.220,2
10,1,0.675565,-56.41369,10,2,192.168.0.220,3
11,1,0.6678748,-48.58913,13,2,192.168.0.220,4
12,1,7.7444,-48.80418,16,2,192.168.0.220,5
13,1,10.68928,-53.30533,19,2,192.168.0.220,6
14,2,39.91141,51.9835,43,2,192.168.0.220,0
15,2,38.87255,50.62849,46,2,192.168.0.220,1
16,2,42.62698,54.42717,49,2,192.168.0.220,2
17,2,44.92083,51.59116,52,2,192.168.0.220,3
18,2,39.64107,45.81639,55,2,192.168.0.220,4
19,2,34.56834,50.75509,58,2,192.168.0.220,5
20,2,35.43737,56.06334,61,2,192.168.0.220,6
21,3,-74.57368,-13.14526,274,2,192.168.0.220,0
22,3,-72.89236,-12.84786,277,2,192.168.0.220,1
23,3,-78.22675,-13.1128,280,2,192.168.0.220,2
24,3,-78.00246,-9.472142,283,2,192.168.0.220,3
25,3,-70.20851,-8.780441,286,2,192.168.0.220,4
26,3,-69.80411,-15.84867,289,2,192.168.0.220,5
27,3,-74.03057,-19.17578,292,2,192.168.0.220,6
28,4,71.4807,-45.52321,379,1,192.168.0.220,0
29,4,70.04005,-44.60679,382,1,192.168.0.220,1
30,4,74.15243,-48.01473,385,1,192.168.0.220,2
31,4,71.52782,-50.54775,388,1,192.168.0.220,3
32,4,65.31356,-45.79308,391,1,192.168.0.220,4
33,4,69.78986,-40.30799,394,1,192.168.0.220,5
34,4,75.15376,-40.70961,397,1,192.168.0.220,6
35,5,-24.08583,89.77141,64,2,192.168.0.220,0
36,5,-23.64257,88.12254,67,2,192.168.0.220,1
37,5,-24.37287,93.41331,70,2,192.168.0.220,2
38,5,-20.72654,93.50818,73,2,192.168.0.220,3
39,5,-19.35609,85.80455,76,2,192.168.0.220,4
40,5,-26.3619,84.78374,79,2,192.168.0.220,5
41,5,-30.04577,88.70315,82,2,192.168.0.220,6
42,6,-46.37382,-89.19278,484,2,192.168.0.220,0
43,6,-45.58686,-87.67754,487,2,192.168.0.220,1
44,6,-48.62223,-92.07211,490,2,192.168.0.220,2
45,6,-51.375,-89.67901,493,2,192.168.0.220,3
46,6,-47.18183,-83.07285,496,2,192.168.0.220,4
47,6,-41.3264,-87.05248,499,2,192.168.0.220,5
48,6,-41.25754,-92.43096,502,2,192.168.0.220,6
49,7,101.1075,36.87642,316,1,192.168.0.220,0
50,7,99.50372,36.29071,319,1,192.168.0.220,1
51,7,104.7104,37.48077,322,1,192.168.0.220,2
