PathId,Host,Universe,ChannelStart,Fixture0,Fixture1,DistanceM,DistanceFt
Path1,192.168.0.60,1,253,21,276,3.428329,11.2478
Path1,192.168.0.60,1,253,276,307,3.239256,10.62748
Path1,192.168.0.60,1,253,307,340,3.417617,11.21266
Path1,192.168.0.60,1,253,340,374,3.608687,11.83952
Path1,192.168.0.60,1,253,374,408,3.810084,12.50028
Path2,192.168.0.60,2,1,20,255,3.219486,10.56262
Path2,192.168.0.60,2,1,255,288,3.136,10.28871
Path2,192.168.0.60,2,1,288,319,3.305878,10.84606
Path2,192.168.0.60,2,1,319,353,3.489235,11.44762
Path2,192.168.0.60,2,1,353,387,3.684912,12.08961
Path3,192.168.0.60,3,1,19,236,3.869326,12.69464
Path3,192.168.0.60,3,1,236,268,3.038563,9.96904
Path3,192.168.0.60,3,1,268,299,3.199266,10.49628
Path3,192.168.0.60,3,1,299,332,3.374471,11.0711
Path3,192.168.0.60,3,1,332,366,3.562635,11.68844
Path3,192.168.0.60,3,1,366,400,3.761322,12.3403
Path4,192.168.0.60,4,1,18,192,2.433278,7.983194
Path4,192.168.0.60,4,1,192,218,2.816887,9.241755
Path4,192.168.0.60,4,1,218,247,2.947615,9.670653
Path4,192.168.0.60,4,1,247,280,3.098163,10.16458
Path4,192.168.0.60,4,1,280,419,3.264651,10.7108
Path4,192.168.0.60,4,1,419,345,3.444938,11.30229
Path4,192.168.0.60,4,1,345,379,3.637805,11.93505
Path4,192.168.0.60,4,1,379,413,3.842457,12.60649
Path40,192.168.0.61,-1,1,17,153,2.613335,8.573935
Path40,192.168.0.61,-1,1,153,177,2.662953,8.736724
Path40,192.168.0.61,-1,1,177,202,2.747408,9.013807
Path40,192.168.0.61,-1,1,202,229,2.864828,9.399042
Path40,192.168.0.61,-1,1,229,260,3.003115,9.85274
Path40,192.168.0.61,-1,1,260,293,3.160074,10.3677
Path40,192.168.0.61,-1,1,293,324,3.332035,10.93187
Path40,192.168.0.61,-1,1,324,358,3.517253,11.53955
Path40,192.168.0.61,-1,1,358,392,3.714685,12.18729
Path41,192.168.0.61,-1,1,16,115,4.068851,13.34925
Path41,192.168.0.61,-1,1,115,139,2.64263,8.670046
Path41,192.168.0.61,-1,1,139,162,2.633066,8.638669
Path41,192.168.0.61,-1,1,162,186,2.690839,8.828212
Path41,192.168.0.61,-1,1,186,212,2.788718,9.149339
Path41,192.168.0.61,-1,1,212,241,2.915695,9.565928
Path41,192.168.0.61,-1,1,241,273,3.061209,10.04334
Path41,192.168.0.61,-1,1,273,304,3.224165,10.57797
Path41,192.168.0.61,-1,1,304,337,3.401356,11.1593
Path41,192.168.0.61,-1,1,337,371,3.591339,11.78261
Path41,192.168.0.61,-1,1,371,405,3.793266,12.4451
Path42,192.168.0.61,-1,1,15,99,5.07746,16.65833
Path42,192.168.0.61,-1,1,99,124,2.707317,8.882273
Path42,192.168.0.61,-1,1,124,147,2.628377,8.623285
Path42,192.168.0.61,-1,1,147,171,2.649133,8.691382
Path42,192.168.0.61,-1,1,171,196,2.724511,8.938684
Path42,192.168.0.61,-1,1,196,223,2.834761,9.300398
Path42,192.168.0.61,-1,1,223,252,2.968642,9.73964
Path42,192.168.0.61,-1,1,252,285,3.121709,10.24183
Path42,192.168.0.61,-1,1,285,316,3.290332,10.79505
Path42,192.168.0.61,-1,1,316,350,3.472543,11.39286
Path42,192.168.0.61,-1,1,350,384,3.667172,12.0314
Path44,192.168.0.60,-1,1,31,70,4.208014,13.80582
Path44,192.168.0.60,-1,1,70,57,1.976865,6.485778
Path44,192.168.0.60,-1,1,57,73,5.027215,16.49349
Path44,192.168.0.60,-1,1,73,94,2.148917,7.050253
Path44,192.168.0.60,-1,1,94,110,2.145915,7.040404
Path44,192.168.0.60,-1,1,110,125,2.218299,7.277885
Path44,192.168.0.60,-1,1,125,140,2.327488,7.636117
Path44,192.168.0.60,-1,1,140,154,2.458631,8.066376
Path44,192.168.0.60,-1,1,154,168,2.602762,8.539245
Path44,192.168.0.60,-1,1,168,193,2.713589,8.902852
Path44,192.168.0.60,-1,1,193,219,2.820421,9.253351
Path44,192.168.0.60,-1,1,219,248,2.951786,9.684339
Path44,192.168.0.60,-1,1,248,281,3.102846,10.17994
Path44,192.168.0.60,-1,1,281,312,3.269758,10.72755
Path44,192.168.0.60,-1,1,312,346,3.450444,11.32035
Path44,192.168.0.60,-1,1,346,380,3.643653,11.95424
Path44,192.168.0.60,-1,1,380,414,3.847072,12.62163
Path45,192.168.0.62,-1,1,22,263,3.633228,11.92004
Path45,192.168.0.62,-1,1,263,295,3.174678,10.41561
Path45,192.168.0.62,-1,1,295,327,3.347862,10.9838
Path45,192.168.0.62,-1,1,327,361,3.534193,11.59512
Path45,192.168.0.62,-1,1,361,395,3.732672,12.2463
Path46,192.168.0.62,-1,1,23,250,6.12844,20.10643
Path46,192.168.0.62,-1,1,250,283,3.112256,10.21081
Path46,192.168.0.62,-1,1,283,314,3.280015,10.76121
Path46,192.168.0.62,-1,1,314,348,3.461471,11.35653
Path46,192.168.0.62,-1,1,348,382,3.655395,11.99277
Path47,192.168.0.62,-1,1,24,221,5.703478,18.7122
Path47,192.168.0.62,-1,1,221,239,3.31069,10.86185
Path47,192.168.0.62,-1,1,239,271,3.052105,10.01347
Path47,192.168.0.62,-1,1,271,302,3.21417,10.54518
Path47,192.168.0.62,-1,1,302,335,3.390568,11.12391
Path47,192.168.0.62,-1,1,335,369,3.579827,11.74484
Path47,192.168.0.62,-1,1,369,403,3.781074,12.4051
Path48,192.168.0.62,-1,1,25,195,5.734475,18.81389
Path48,192.168.0.62,-1,1,195,211,3.034752,9.956536
Path48,192.168.0.62,-1,1,211,228,3.202377,10.50649
Path48,192.168.0.62,-1,1,228,258,2.994402,9.824153
Path48,192.168.0.62,-1,1,258,291,3.150406,10.33598
Path48,192.168.0.62,-1,1,291,322,3.321535,10.89742
Path48,192.168.0.62,-1,1,322,356,3.506016,11.50268
Path48,192.168.0.62,-1,1,356,390,3.702747,12.14812
Path49,192.168.0.62,-1,1,26,170,5.976128,19.60672
Path49,192.168.0.62,-1,1,170,185,2.771068,9.09143
Path49,192.168.0.62,-1,1,185,201,2.932373,9.620645
Path49,192.168.0.62,-1,1,201,217,3.097037,10.16088
Path49,192.168.0.62,-1,1,217,246,2.939325,9.643456
Path49,192.168.0.62,-1,1,246,417,3.08885,10.13402
Path49,192.168.0.62,-1,1,417,310,3.254445,10.67731
Path49,192.168.0.62,-1,1,310,343,3.433981,11.26634
Path49,192.168.0.62,-1,1,343,377,3.626123,11.89673
Path49,192.168.0.62,-1,1,377,411,3.830101,12.56595
Path50,192.168.0.63,-1,1,27,146,6.29426,20.65046
Path50,192.168.0.63,-1,1,146,161,2.525916,8.287125
Path50,192.168.0.63,-1,1,161,176,2.674796,8.775577
Path50,192.168.0.63,-1,1,176,191,2.831606,9.290045
Path50,192.168.0.63,-1,1,191,207,2.995143,9.826586
Path50,192.168.0.63,-1,1,207,234,2.887917,9.474792
Path50,192.168.0.63,-1,1,234,266,3.029616,9.939684
Path50,192.168.0.63,-1,1,266,297,3.189389,10.46387
Path50,192.168.0.63,-1,1,297,330,3.363795,11.03607
Path50,192.168.0.63,-1,1,330,364,3.551229,11.65101
Path50,192.168.0.63,-1,1,364,398,3.749236,12.30064
Path51,192.168.0.63,-1,1,28,132,3.973504,13.03643
Path51,192.168.0.63,-1,1,132,123,2.958036,9.704843
Path51,192.168.0.63,-1,1,123,138,2.310435,7.580168
Path51,192.168.0.63,-1,1,138,152,2.438998,8.001962
Path51,192.168.0.63,-1,1,152,167,2.581539,8.469617
Path51,192.168.0.63,-1,1,167,181,2.733714,8.968878
Path51,192.168.0.63,-1,1,181,197,2.893039,9.491597
Path51,192.168.0.63,-1,1,197,224,2.838398,9.31233
Path51,192.168.0.63,-1,1,224,253,2.972892,9.753584
Path51,192.168.0.63,-1,1,253,286,3.126461,10.25742
Path51,192.168.0.63,-1,1,286,317,3.295498,10.812
Path51,192.168.0.63,-1,1,317,351,3.478096,11.41107
Path51,192.168.0.63,-1,1,351,385,3.673074,12.05077
Path52,192.168.0.63,-1,1,29,108,4.813159,15.79121
Path52,192.168.0.63,-1,1,108,98,2.481217,8.140475
Path52,192.168.0.63,-1,1,98,114,2.158293,7.081012
Path52,192.168.0.63,-1,1,114,129,2.241834,7.3551
Path52,192.168.0.63,-1,1,129,143,2.357087,7.733225
Path52,192.168.0.63,-1,1,143,157,2.491938,8.17565
Path52,192.168.0.63,-1,1,157,172,2.638543,8.656636
Path52,192.168.0.63,-1,1,172,187,2.793656,9.16554
Path52,192.168.0.63,-1,1,187,213,2.792069,9.160332
Path52,192.168.0.63,-1,1,213,242,2.919728,9.579161
Path52,192.168.0.63,-1,1,242,274,3.065779,10.05833
Path52,192.168.0.63,-1,1,274,305,3.229186,10.59444
Path52,192.168.0.63,-1,1,305,338,3.40676,11.17704
Path52,192.168.0.63,-1,1,338,372,3.597119,11.80157
Path52,192.168.0.63,-1,1,372,406,3.797834,12.46008
Path53,192.168.0.63,-1,1,30,91,4.016645,13.17797
Path53,192.168.0.63,-1,1,91,78,2.199286,7.215507
Path53,192.168.0.63,-1,1,78,65,2.047197,6.716526
Path53,192.168.0.63,-1,1,65,86,2.187892,7.178123
Path53,192.168.0.63,-1,1,86,104,2.134797,7.003928
Path53,192.168.0.63,-1,1,104,119,2.184893,7.168284
Path53,192.168.0.63,-1,1,119,134,2.282774,7.489415
Path53,192.168.0.63,-1,1,134,148,2.406907,7.896676
Path53,192.168.0.63,-1,1,148,163,2.546604,8.355
Path53,192.168.0.63,-1,1,163,178,2.696764,8.84765
Path53,192.168.0.63,-1,1,178,203,2.750433,9.02373
Path53,192.168.0.63,-1,1,203,230,2.86863,9.411517
Path53,192.168.0.63,-1,1,230,261,3.007494,9.867107
Path53,192.168.0.63,-1,1,261,294,3.164927,10.38362
Path53,192.168.0.63,-1,1,294,325,3.337299,10.94914
Path53,192.168.0.63,-1,1,325,359,3.52289,11.55804
Path53,192.168.0.63,-1,1,359,393,3.720666,12.20691
Path54,192.168.0.63,-1,1,34,88,3.49842,11.47775
Path54,192.168.0.63,-1,1,88,80,3.127467,10.26072
Path54,192.168.0.63,-1,1,80,93,2.224905,7.299556
Path54,192.168.0.63,-1,1,93,109,2.143896,7.03378
Path54,192.168.0.63,-1,1,109,133,2.660226,8.727777
Path54,192.168.0.63,-1,1,133,156,2.627765,8.621276
Path54,192.168.0.63,-1,1,156,180,2.67293,8.769455
Path54,192.168.0.63,-1,1,180,206,2.762796,9.064293
Path54,192.168.0.63,-1,1,206,233,2.884021,9.462012
Path54,192.168.0.63,-1,1,233,265,3.025161,9.92507
Path54,192.168.0.63,-1,1,265,296,3.184468,10.44773
Path54,192.168.0.63,-1,1,296,329,3.358475,11.01862
Path54,192.168.0.63,-1,1,329,363,3.545539,11.63235
Path54,192.168.0.63,-1,1,363,397,3.744708,12.28579
Path55,192.168.0.64,-1,1,33,75,3.206223,10.5191
Path55,192.168.0.64,-1,1,75,67,2.749211,9.01972
Path55,192.168.0.64,-1,1,67,59,2.506068,8.222008
Path55,192.168.0.64,-1,1,59,72,1.991803,6.534785
Path55,192.168.0.64,-1,1,72,103,2.950361,9.679662
Path55,192.168.0.64,-1,1,103,118,2.181169,7.156066
Path55,192.168.0.64,-1,1,118,142,2.635222,8.645742
Path55,192.168.0.64,-1,1,142,166,2.63823,8.655611
Path55,192.168.0.64,-1,1,166,190,2.703156,8.868622
Path55,192.168.0.64,-1,1,190,216,2.806423,9.207425
Path55,192.168.0.64,-1,1,216,245,2.935197,9.629912
Path55,192.168.0.64,-1,1,245,278,3.084201,10.11877
Path55,192.168.0.64,-1,1,278,309,3.249378,10.66069
Path55,192.168.0.64,-1,1,309,342,3.428515,11.24841
Path55,192.168.0.64,-1,1,342,376,3.620302,11.87763
Path55,192.168.0.64,-1,1,376,410,3.822377,12.54061
Path56,192.168.0.65,-1,1,32,83,2.102164,6.896864
Path56,192.168.0.65,-1,1,83,62,2.211252,7.254766
Path56,192.168.0.65,-1,1,62,5,2.479212,8.133898
Path56,192.168.0.65,-1,1,5,4,1.901147,6.23736
Path56,192.168.0.65,-1,1,4,3,1.901147,6.23736
Path56,192.168.0.65,-1,1,3,2,1.901147,6.23736
Path56,192.168.0.65,-1,1,2,1,1.901147,6.23736
Path56,192.168.0.65,-1,1,1,0,1.901147,6.23736
Path56,192.168.0.65,-1,1,0,14,1.901147,6.237359
Path56,192.168.0.65,-1,1,14,13,1.901147,6.237358
Path56,192.168.0.65,-1,1,13,12,1.901148,6.237361
Path56,192.168.0.65,-1,1,12,11,1.901147,6.23736
Path56,192.168.0.65,-1,1,11,10,1.901147,6.237359
Path56,192.168.0.65,-1,1,10,9,1.901148,6.237361
Path56,192.168.0.65,-1,1,9,8,1.901147,6.23736
Path56,192.168.0.65,-1,1,8,7,1.901147,6.23736
Path56,192.168.0.65,-1,1,7,6,1.901147,6.237358
Path57,192.168.0.65,-1,1,44,79,3.681843,12.07954
Path57,192.168.0.65,-1,1,79,58,2.252017,7.388508
Path57,192.168.0.65,-1,1,58,71,1.984068,6.509409
Path57,192.168.0.65,-1,1,71,63,2.628565,8.6239
Path57,192.168.0.65,-1,1,63,55,2.382105,7.815306
Path57,192.168.0.65,-1,1,55,60,3.528716,11.57715
Path57,192.168.0.65,-1,1,60,81,2.230116,7.316652
Path57,192.168.0.65,-1,1,81,100,2.134574,7.003195
Path57,192.168.0.65,-1,1,100,116,2.167374,7.110807
Path57,192.168.0.65,-1,1,116,130,2.256535,7.40333
Path57,192.168.0.65,-1,1,130,144,2.37569,7.79426
Path57,192.168.0.65,-1,1,144,159,2.512246,8.242277
Path57,192.168.0.65,-1,1,159,183,2.681597,8.797892
Path57,192.168.0.65,-1,1,183,209,2.775564,9.106181
Path57,192.168.0.65,-1,1,209,237,2.899713,9.513493
Path57,192.168.0.65,-1,1,237,269,3.043063,9.983804
Path57,192.168.0.65,-1,1,269,300,3.204221,10.51254
Path57,192.168.0.65,-1,1,300,333,3.379826,11.08867
Path57,192.168.0.65,-1,1,333,367,3.568357,11.70721
Path57,192.168.0.65,-1,1,367,401,3.768912,12.3652
Path58,192.168.0.65,-1,1,45,92,3.760198,12.33661
Path58,192.168.0.65,-1,1,92,84,3.239773,10.62918
Path58,192.168.0.65,-1,1,84,76,3.013389,9.886447
Path58,192.168.0.65,-1,1,76,68,2.779061,9.117656
Path58,192.168.0.65,-1,1,68,89,2.169737,7.118558
Path58,192.168.0.65,-1,1,89,106,2.137553,7.01297
Path58,192.168.0.65,-1,1,106,121,2.196676,7.206943
Path58,192.168.0.65,-1,1,121,136,2.299212,7.543345
Path58,192.168.0.65,-1,1,136,150,2.426063,7.959525
Path58,192.168.0.65,-1,1,150,174,2.655697,8.712915
Path58,192.168.0.65,-1,1,174,199,2.735584,8.975013
Path58,192.168.0.65,-1,1,199,226,2.849823,9.349812
Path58,192.168.0.65,-1,1,226,256,2.985752,9.795774
Path58,192.168.0.65,-1,1,256,289,3.140788,10.30442
Path58,192.168.0.65,-1,1,289,320,3.311086,10.86314
Path58,192.168.0.65,-1,1,320,354,3.494816,11.46593
Path58,192.168.0.65,-1,1,354,388,3.690845,12.10907
Path59,192.168.0.65,-1,1,46,102,4.877148,16.00114
Path59,192.168.0.65,-1,1,102,96,3.593931,11.79111
Path59,192.168.0.65,-1,1,96,112,2.152903,7.063331
Path59,192.168.0.65,-1,1,112,127,2.232193,7.32347
Path59,192.168.0.65,-1,1,127,165,3.842447,12.60645
Path59,192.168.0.65,-1,1,165,189,2.700629,8.860333
Path59,192.168.0.65,-1,1,189,215,2.802976,9.196115
Path59,192.168.0.65,-1,1,215,244,2.931097,9.616461
Path59,192.168.0.65,-1,1,244,277,3.079572,10.10358
Path59,192.168.0.65,-1,1,277,308,3.24431,10.64406
Path59,192.168.0.65,-1,1,308,341,3.423061,11.23052
Path59,192.168.0.65,-1,1,341,375,3.614487,11.85855
Path59,192.168.0.65,-1,1,375,409,3.817785,12.52554
Path60,192.168.0.65,-1,1,47,205,4.24194,13.91713
Path60,192.168.0.65,-1,1,205,232,2.880142,9.449285
Path60,192.168.0.65,-1,1,232,264,3.020726,9.91052
Path60,192.168.0.65,-1,1,264,418,3.179574,10.43167
Path60,192.168.0.65,-1,1,418,328,3.353155,11.00116
Path60,192.168.0.65,-1,1,328,362,3.53986,11.61372
Path60,192.168.0.65,-1,1,362,396,3.738687,12.26603
Path61,192.168.0.65,-1,1,48,222,3.162466,10.37555
Path61,192.168.0.65,-1,1,222,251,2.964399,9.725718
Path61,192.168.0.65,-1,1,251,284,3.11698,10.22631
Path61,192.168.0.65,-1,1,284,315,3.285159,10.77808
Path61,192.168.0.65,-1,1,315,349,3.467008,11.3747
Path61,192.168.0.65,-1,1,349,383,3.661271,12.01204
Path62,192.168.0.65,-1,1,49,240,3.098888,10.16696
Path62,192.168.0.65,-1,1,240,272,3.05665,10.02838
Path62,192.168.0.65,-1,1,272,303,3.219163,10.56156
Path62,192.168.0.65,-1,1,303,336,3.395955,11.14158
Path62,192.168.0.65,-1,1,336,370,3.585577,11.7637
Path62,192.168.0.65,-1,1,370,404,3.785629,12.42004
Path63,192.168.0.65,-1,1,51,259,2.381743,7.814119
Path63,192.168.0.65,-1,1,259,292,3.155234,10.35182
Path63,192.168.0.65,-1,1,292,323,3.326779,10.91463
Path63,192.168.0.65,-1,1,323,357,3.511629,11.52109
Path63,192.168.0.65,-1,1,357,391,3.708708,12.16768
Path64,192.168.0.65,-1,1,53,279,3.257382,10.68695
Path64,192.168.0.65,-1,1,279,311,3.259543,10.69404
Path64,192.168.0.65,-1,1,311,344,3.439459,11.28432
Path64,192.168.0.65,-1,1,344,378,3.631955,11.91586
Path64,192.168.0.65,-1,1,378,412,3.834713,12.58108
Path65,192.168.0.65,-1,1,38,158,3.790506,12.43604
Path65,192.168.0.65,-1,1,158,149,3.490319,11.45118
Path65,192.168.0.65,-1,1,149,173,2.65233,8.70187
Path65,192.168.0.65,-1,1,173,198,2.73015,8.957187
Path65,192.168.0.65,-1,1,198,225,2.842055,9.324328
Path65,192.168.0.65,-1,1,225,254,2.977164,9.767598
Path65,192.168.0.65,-1,1,254,287,3.13122,10.27303
Path65,192.168.0.65,-1,1,287,318,3.300688,10.82903
Path65,192.168.0.65,-1,1,318,352,3.483653,11.42931
Path65,192.168.0.65,-1,1,352,386,3.67899,12.07018
Path67,192.168.0.65,-1,1,43,66,4.154826,13.63132
Path67,192.168.0.65,-1,1,66,61,3.872123,12.70381
Path67,192.168.0.65,-1,1,61,56,3.587536,11.77013
Path67,192.168.0.65,-1,1,56,64,2.413177,7.917247
Path67,192.168.0.65,-1,1,64,85,2.195102,7.201778
Path67,192.168.0.65,-1,1,85,128,4.239332,13.90857
Path67,192.168.0.65,-1,1,128,151,2.626759,8.617977
Path67,192.168.0.65,-1,1,151,175,2.657452,8.718674
Path67,192.168.0.65,-1,1,175,200,2.738498,8.984572
