BaseId,DistFromCtr,Theta
0,180.0004,90
1,180.0004,66
2,180.0004,42
3,180.0004,18.00001
4,180.0004,5.999989
5,180.0004,29.99999
6,180.0004,54.00001
7,180.0003,78
8,180.0003,102
9,180.0004,126
10,180.0003,150
11,180.0004,174
12,180.0004,162
13,180.0004,138
14,180.0004,114
15,518.8348,25.90773
16,591.0813,23.79038
17,666.0656,24.15204
18,736.7228,26.23079
19,798.1395,29.45914
20,846.8849,33.44033
21,880.6099,37.89258
22,897.8323,42.60338
23,897.8323,47.39662
24,880.6099,52.10743
25,846.8848,56.55967
26,798.1395,60.54087
27,736.7227,63.76921
28,666.0654,65.84797
29,591.0811,66.20961
30,518.8347,64.09226
31,459.2709,58.72373
32,424.6186,50.07262
33,424.6187,39.9273
34,459.2713,31.27621
35,846.8851,123.4403
36,798.1395,119.4591
37,736.723,116.2308
38,666.0656,114.152
39,591.0814,113.7904
40,518.8349,115.9077
41,459.2711,121.2762
42,424.6187,129.9273
43,424.6186,140.0726
44,459.271,148.7237
45,518.8348,154.0923
46,591.0813,156.2096
47,666.0656,155.8479
48,736.7228,153.7692
49,798.1396,150.5408
50,846.8851,146.5597
51,880.6099,142.1074
52,897.8323,137.3966
53,897.8322,132.6034
54,880.6099,127.8925
55,235.0814,160.2176
56,239.4818,62.2746
57,243.8194,75.23273
58,248.0975,147.2595
59,252.3194,9.751711
60,256.4879,127.7561
61,260.6053,94.73618
62,264.6744,42.77161
63,268.6974,179.7209
64,272.6761,42.21285
65,276.6127,95.29492
66,280.5089,127.1973
67,284.3665,10.31048
68,288.1871,147.8182
69,291.9721,74.67399
70,295.7229,62.83379
71,299.441,159.6584
72,303.1275,22.15066
73,306.7835,115.3571
74,310.4102,107.1351
75,314.0088,30.37265
76,317.5802,167.8804
77,321.1252,54.6118
78,324.6449,82.89597
79,328.1401,139.5963
80,331.6116,2.088535
81,335.0601,135.4197
82,338.4864,87.07251
83,341.8913,50.43527
84,345.2753,172.0569
85,348.6393,34.54919
86,351.9835,102.9577
87,355.3089,119.5345
88,358.6159,17.97324
89,361.9049,155.481
90,365.1767,67.01121
91,368.4315,70.49657
92,371.67,151.9957
93,374.8927,14.48788
94,378.0998,123.0199
95,381.292,99.47234
96,387.6327,175.5432
97,390.7821,46.94902
98,393.918,90.55875
99,400.1508,5.574326
100,403.2482,143.0821
101,406.3336,79.41016
102,412.4691,164.3946
103,415.5199,26.88684
104,418.5597,110.6209
105,421.5887,111.8713
106,427.6158,163.1442
107,430.6142,59.34797
108,433.603,78.1598
109,439.5524,6.82464
110,442.5135,130.6831
111,445.4656,91.80911
112,451.3445,176.7936
113,454.2715,39.2858
114,457.1905,98.22198
115,463.005,13.23752
116,465.9009,150.7453
117,468.7896,71.74693
118,477.4132,19.22362
119,480.2741,118.2842
120,483.1284,104.2081
121,488.8182,170.8075
122,491.6539,51.68475
123,494.4837,85.82302
124,500.1255,0.8395343
125,502.938,138.3472
126,505.7451,84.14501
127,511.3432,169.1295
128,514.1346,31.6217
129,516.921,105.8861
130,525.2511,158.4077
131,528.0184,64.08458
132,530.7814,73.42319
133,536.2942,11.56127
134,539.0443,125.9465
135,541.7902,96.54572
136,547.2701,178.4698
137,550.0044,44.0224
138,552.7348,93.48537
139,558.1848,8.500919
140,560.9045,146.0087
141,563.6207,76.48354
142,571.7499,23.96023
143,574.4531,113.5476
144,582.5452,166.0709
145,585.2367,56.42136
146,587.9255,81.08642
147,593.2949,3.898074
148,595.9757,133.6097
149,598.6541,88.88249
150,604.0033,173.8669
151,606.6742,36.35917
152,609.3433,101.1486
153,614.6741,16.16414
154,617.3363,153.6719
155,619.9965,68.82032
156,627.9652,16.297
157,630.6177,121.2108
158,633.2683,101.2815
159,638.5643,173.7341
160,641.2098,48.75813
161,643.8538,88.74964
162,649.1368,3.7652
163,651.7762,141.273
164,654.4141,81.21927
165,659.6857,166.2037
166,662.3196,28.69595
167,664.9522,108.8118
168,672.8428,161.3351
169,675.4707,61.15709
170,678.0975,76.35069
171,683.3483,8.633789
172,685.9722,128.874
173,688.5953,93.61823
174,693.8384,178.6026
175,696.4589,41.09491
176,699.0786,96.41286
177,704.3159,11.42841
178,706.9335,148.9362
179,709.5504,73.55605
180,717.3976,21.03273
181,720.0123,116.4751
182,722.6265,106.0172
183,727.8536,168.9984
184,730.4667,53.49387
185,733.0793,84.01391
186,738.3035,0.9707584
187,740.9152,136.5372
188,743.5266,85.955
189,748.7491,170.9395
190,751.3599,33.43168
191,753.9707,104.0761
192,759.1919,19.09164
193,761.8023,156.5994
194,764.4129,65.89282
195,767.0235,71.61496
196,772.2443,13.36949
197,774.855,124.1383
198,777.4658,98.35396
199,782.6875,176.6633
200,785.2985,45.82889
201,787.9099,91.67889
202,793.1332,6.694422
203,795.7452,144.2022
204,798.3574,78.29002
205,803.5831,163.2745
206,806.1964,25.7667
207,808.8099,111.7411
208,811.424,110.7512
209,816.6533,164.2644
210,819.2684,58.22785
211,821.8842,79.27992
212,827.1172,5.704545
213,829.7347,131.8032
214,832.3525,90.69248
215,837.5899,175.6769
216,840.2095,38.16917
217,842.8298,99.33862
218,848.0723,14.35416
219,850.6946,151.8619
220,853.3176,70.63029
221,855.9412,66.87747
222,858.5656,155.6148
223,861.1906,18.10698
224,863.8166,119.4008
225,866.4434,103.0914
226,871.6992,171.9241
227,874.3284,50.56812
228,876.9584,86.93965
229,882.2211,1.955247
230,884.8539,139.463
231,887.4874,83.02926
232,892.7576,168.0137
233,895.3942,30.50594
234,898.0316,107.0018
235,900.6702,115.4904
236,903.3099,22.01738
237,905.9503,159.5251
238,908.592,62.96708
239,911.2346,74.5407
240,913.8783,147.9515
241,916.5231,10.44376
242,919.1689,127.064
243,921.8162,95.42822
244,927.1138,179.5874
245,929.7642,42.9049
246,932.416,94.60287
247,937.723,9.618402
248,940.3784,147.1262
249,943.0349,75.36604
250,945.6928,62.14175
251,948.3519,160.3505
252,951.0123,22.84272
253,953.674,114.6651
254,956.337,107.8272
255,959.0012,29.6806
256,961.6669,167.1884
257,964.3339,55.30385
258,967.0023,82.20393
259,969.672,140.2883
260,972.3431,2.780589
261,975.0157,134.7272
